master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
100970525,METROPOLITAN NASHVILLE POLICE DEPT,20150913490,Davidson,Nashville,10/1/2015 12:00:00 AM,1,0,0,36.145450,-86.662100,ROYAL PKWY,,,,263.00,Feet,East,AIRPORT CENTER DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Curtis,Fisher,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
100970557,METROPOLITAN NASHVILLE POLICE DEPT,2015-0913925,Davidson,Nashville,10/1/2015 6:55:00 AM,2,0,0,36.101270,-86.870680,HARDING PKE,,,,355.00,Feet,South,HARDING PL,,,,0.00,N,Not at Intersection, ,,None,,,         ,Curtis,Rich,,,no,no,no,no,no,False
100970580,METROPOLITAN NASHVILLE POLICE DEPT,2015-0914024,Davidson,Not in City Limit,10/1/2015 7:44:00 AM,2,0,0,36.073340,-86.926370,HICKS RD,,,,208.00,Feet,South,OLD HARDING PKE,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Curtis,Rich,Cloudy,Front to Rear,no,no,no,no,yes,False
100970581,METROPOLITAN NASHVILLE POLICE DEPT,20150914062,Davidson,Nashville,10/1/2015 7:49:00 AM,2,0,0,36.104050,-86.796730,GRANNY WHITE PKE,,,,147.00,Feet,South,MAPLEHURST AV,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Nathan,Kemp,Clear,Front to Rear,no,no,no,no,no,False
100970593,METROPOLITAN NASHVILLE POLICE DEPT,20150913984,Davidson,Nashville,10/1/2015 7:25:00 AM,2,0,0,36.086760,-86.694790,HARDING PL,,,,345.00,Feet,East,S PERIMETER PARK DR,,,,0.00,N,Not at Intersection, ,,None,,,         ,Brian,Penny,,,no,no,no,no,no,False
100970613,METROPOLITAN NASHVILLE POLICE DEPT,20150914039,Davidson,Nashville,10/1/2015 7:03:00 AM,2,0,0,36.143400,-86.873960,CHARLOTTE PKE,,,,103.00,Feet,North,CHARLOTTE ROAD CIR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Kyle,Arndt,Cloudy,"Sideswipe, Same Direction",no,no,no,yes,no,False
100970621,METROPOLITAN NASHVILLE POLICE DEPT,20150914038,Davidson,Nashville,10/1/2015 5:40:00 AM,2,0,0,36.094240,-86.624870,BELL RD,,,,129.00,Feet,North,HARBOR LIGHTS DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,James,Curtis,Cloudy,"Sideswipe, Opposite Direction",no,no,no,no,yes,False
100970630,METROPOLITAN NASHVILLE POLICE DEPT,2015-0914224,Davidson,Nashville,10/1/2015 8:55:00 AM,2,0,0,36.155250,-86.858180,BRILEY PKWY S EXT RAMP,,,,0.00,Feet,East,I40 E EXT RAMP,,,,0.00,N,Not at Intersection, ,,None,,,         ,Curtis,Rich,,,no,no,no,no,no,False
100970635,METROPOLITAN NASHVILLE POLICE DEPT,20150913903,Davidson,Not in City Limit,10/1/2015 6:22:00 AM,1,0,0,36.317180,-86.886820,CLARKSVILLE PKE,,,,636.00,Feet,East,CHAMBLISS RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Richard,Olive,Cloudy,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
100970637,METROPOLITAN NASHVILLE POLICE DEPT,20150913998,Davidson,Nashville,10/1/2015 8:19:00 AM,2,0,0,36.214660,-86.730400,GALLATIN PKE,,,,72.00,Feet,North,STRATFORD AV,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Jared,Eaves,Clear,Front to Rear,no,no,no,no,no,False
100970646,METROPOLITAN NASHVILLE POLICE DEPT,20150914258,Davidson,Nashville,10/1/2015 8:45:00 AM,2,0,0,36.075010,-86.721030,FLORA MAXWELL RD,,,,220.00,Feet,West,TAYLOR RD,,,,0.00,N,Not at Intersection,N,"Driveway, Alley Access, etc",None,,,         ,Brian,Lamb,Rain,Angle,no,no,no,no,yes,False
