master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
101777706,METROPOLITAN NASHVILLE POLICE DEPT,20170867739,Davidson,Nashville,10/1/2017 12:18:00 AM,1,0,0,36.152190,-86.753300,I 40,,,,0.00,,,,,,,211.40,N,Not at Intersection,N,Non-Junction,Construction Zone,Laneclosure,Unknown,         ,Mekisha,Page,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101777751,METROPOLITAN NASHVILLE POLICE DEPT,20170868055,Davidson,Nashville,10/1/2017 1:30:00 AM,2,0,0,36.155820,-86.795920,17TH AVN,,,,0.00,,,CHURCH ST,,,,0.00,Y,Four-Way, ,Non-Junction,None,,,         ,Akira,McSwain,Clear,Angle,no,no,no,no,no,False
101777771,METROPOLITAN NASHVILLE POLICE DEPT,20170868135,Davidson,Nashville,10/1/2017 3:03:00 AM,2,0,0,36.152300,-86.797450,WEST END AV,,,,0.00,,,19TH AVN,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Craig,Oakley,,Angle,no,no,no,no,no,False
101777772,METROPOLITAN NASHVILLE POLICE DEPT,20170868286,Davidson,Nashville,10/1/2017 4:18:00 AM,1,1,0,36.216170,-86.862310,KINGS LN,,,,454.00,Feet,West,QUEENS LN,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,James,Murphy,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101777784,METROPOLITAN NASHVILLE POLICE DEPT,20170868004,Davidson,Nashville,10/1/2017 1:52:00 AM,2,0,0,36.160880,-86.778700,OPRY PL,,,,408.00,Feet,South,5TH AVN,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,John,Anderson,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101777785,METROPOLITAN NASHVILLE POLICE DEPT,20170868258,Davidson,Nashville,10/1/2017 3:06:00 AM,2,0,0,36.045610,-86.716970,HICKORY PLZ,,,,132.00,Feet,North,OLD HICKORY BLVD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Jacob,West,Clear,Angle,no,no,no,no,yes,False
101777820,METROPOLITAN NASHVILLE POLICE DEPT,20170868372,Davidson,Not in City Limit,10/1/2017 5:11:00 AM,1,0,0,36.088390,-87.005150,RIVERVALLEY DR,,,,316.00,Feet,North,VALLEYPARK DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Kristen,Morgan,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101777826,METROPOLITAN NASHVILLE POLICE DEPT,20170867943,Davidson,Joelton,10/1/2017 1:28:00 AM,3,2,0,36.323660,-86.863630,I 24,,,,0.00,,,,,,,35.20,N,Not at Intersection,N,Non-Junction,None,,,         ,Bryant,Presley,Clear,Front to Rear,no,no,no,no,no,False
101777840,METROPOLITAN NASHVILLE POLICE DEPT,20170868369,Davidson,Nashville,10/1/2017 3:26:00 AM,2,0,0,36.164230,-86.777730,CHURCH ST,,,,0.00,,,3RD AVN,,,,0.00,Y,T-Intersection,N,Non-Junction,None,,,         ,Darrien,Spann,Clear,Angle,no,no,no,no,no,False
101777844,METROPOLITAN NASHVILLE POLICE DEPT,20170868400,Davidson,Nashville,10/1/2017 5:53:00 AM,1,1,0,36.043990,-86.719580,ZERMATT AV,,,,592.00,Feet,South,OLD HICKORY BLVD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Jacob,West,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101777901,METROPOLITAN NASHVILLE POLICE DEPT,20170868479,Davidson,Nashville,10/1/2017 6:00:00 AM,1,0,0,36.072590,-86.691640,I 24,,,,0.00,,,,,,,56.75,N,Not at Intersection, ,Non-Junction,None,,,         ,Sara,Lober,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101777914,METROPOLITAN NASHVILLE POLICE DEPT,20170868490,Davidson,Nashville,10/1/2017 4:30:00 AM,1,0,0,36.121040,-86.707350,WINTHORNE DR,,,,347.00,Feet,South,WINTHORNE CT,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Michael,Dudley,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
101777945,METROPOLITAN NASHVILLE POLICE DEPT,20170868603,Davidson,Not in City Limit,10/1/2017 8:43:00 AM,1,0,0,36.284620,-86.862950,OLD HICKORY BLVD,,,,0.67,Miles,North,SIMPKINS RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,James,Wray,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101777955,METROPOLITAN NASHVILLE POLICE DEPT,20170868619,Davidson,Nashville,10/1/2017 9:00:00 AM,2,1,0,36.137200,-86.699670,BRILEY PKWY,,,,0.00,,,GLASTONBURY RD,,,,0.00,Y,T-Intersection,N,Intersection-Related,None,,,         ,Terry,Denton,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101777962,METROPOLITAN NASHVILLE POLICE DEPT,20170868678,Davidson,Nashville,10/1/2017 9:30:00 AM,2,0,0,36.204370,-86.689560,BRILEY PKWYN,,,,218.00,Feet,East,OPRYLAND DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Gerry,Hutcheson,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
101777978,METROPOLITAN NASHVILLE POLICE DEPT,20170868795,Davidson,Nashville,10/1/2017 10:45:00 AM,2,0,0,36.142200,-86.762400,2ND AVS,,,,0.00,,,HART ST,,,,0.00,Y,T-Intersection, ,Intersection-Related,None,,,         ,Michael,Dudley,Clear,Angle,no,no,no,no,no,False
101778015,METROPOLITAN NASHVILLE POLICE DEPT,20170868693,Davidson,Nashville,10/1/2017 9:44:00 AM,5,4,0,36.148860,-86.746140,I 40,,,,0.00,,,,,,,211.85,N,Not at Intersection,N,Non-Junction,None,,,         ,FELIKS,ABRAHAMYAN,Clear,Angle,no,no,no,no,no,False
101778017,METROPOLITAN NASHVILLE POLICE DEPT,20170868916,Davidson,Nashville,10/1/2017 12:07:00 PM,2,0,0,36.146520,-86.870230,CHARLOTTE PKE,,,,212.00,Feet,East,WESTBORO DR,,,,0.00,N,Not at Intersection, ,,None,,,         ,Adam,Reese,,,no,no,no,no,no,False
101778039,METROPOLITAN NASHVILLE POLICE DEPT,20170868904,Davidson,Nashville,10/1/2017 12:00:00 PM,2,0,0,36.076730,-86.726400,EDMONDSON PKE,,,,280.00,Feet,West,WALLACE RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Ian,Hammond,Clear,Angle,no,no,no,no,no,False
101778093,METROPOLITAN NASHVILLE POLICE DEPT,20170868870,Davidson,Nashville,10/1/2017 12:00:00 AM,2,0,0,36.127630,-86.789120,12TH AVS,,,,0.00,,,LINDEN AV,,,,0.00,Y,OTHER,N,Non-Junction,None,,,         ,Shedie,Herbert III,Clear,Front to Rear,no,no,no,no,yes,False
101778094,METROPOLITAN NASHVILLE POLICE DEPT,20170868930,Davidson,Nashville,10/1/2017 12:03:00 PM,2,0,0,36.154630,-86.779160,LAFAYETTE ST,,,,0.00,,,8TH AVS,,,,0.00,Y,Roundabout, ,Non-Junction,None,,,         ,Seth,Quiles,Clear,Angle,no,no,no,no,no,False
101778097,METROPOLITAN NASHVILLE POLICE DEPT,20170868988,Davidson,Nashville,10/1/2017 12:59:00 PM,2,3,0,36.044920,-86.670680,BELL RD,,,,78.00,Feet,West,HICKORY PARK DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Sara,Lober,Clear,Front to Rear,no,no,no,no,no,False
101778099,METROPOLITAN NASHVILLE POLICE DEPT,20170868828,Davidson,Nashville,10/1/2017 12:00:00 AM,2,0,0,36.208580,-86.777800,BRICK CHURCH PKE,,,,180.00,Feet,South,AVONDALE CIR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Royce,McLester,Clear,Unknown,no,no,no,yes,yes,False
101778126,METROPOLITAN NASHVILLE POLICE DEPT,20170868991,Davidson,Nashville,10/1/2017 11:40:00 AM,2,0,0,36.162540,-86.666810,CUMBERLAND CIR,,,,992.00,Feet,South,BLUEFIELD AV,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Gerry,Hutcheson,Clear,Angle,no,no,no,no,no,False
101778128,METROPOLITAN NASHVILLE POLICE DEPT,20170869016,Davidson,Nashville,10/1/2017 1:20:00 PM,2,0,0,36.134480,-86.825530,WEST END AV,,,,80.00,Feet,West,BOWLING AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Gregory,McDaniel,Clear,Front to Rear,no,no,no,no,yes,False
101778131,METROPOLITAN NASHVILLE POLICE DEPT,20170868960,Davidson,Nashville,10/1/2017 12:40:00 PM,2,1,0,36.043240,-86.713020,NOLENSVILLE PKE,,,,291.00,Feet,North,SWISS AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Ian,Hammond,Clear,Front to Rear,no,no,no,no,no,False
101778137,METROPOLITAN NASHVILLE POLICE DEPT,20170869031,Davidson,Nashville,10/1/2017 12:33:00 PM,2,0,0,36.163180,-86.776020,2ND AVN,,,,28.00,Feet,South,COMMERCE ST,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Kevin,Johnson,Clear,Angle,no,no,no,no,no,False
101778182,METROPOLITAN NASHVILLE POLICE DEPT,20170868966,Davidson,Nashville,10/1/2017 12:46:00 PM,2,1,0,36.167950,-86.815500,I40 W EXT RAMP,,,,0.00,Feet,East,I 40,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Nicholas,MacDougall,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101778185,VANDERBILT UNIVERSITY POLICE,17-0868961,Davidson,Nashville,10/1/2017 12:30:00 PM,2,0,0,36.149540,-86.799410,TERRACE PL,,,,0.00,,,,,,,0.00,,, ,Non-Junction,None,,,         ,Yasemine,Lomax,Clear,Rear to Rear,no,no,no,yes,no,Campus
101778228,METROPOLITAN NASHVILLE POLICE DEPT,20170869097,Davidson,Nashville,10/1/2017 2:50:00 PM,2,0,0,36.106160,-86.718460,I 24,,,,0.00,,,,,,,54.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Lee,Davis,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101778241,METROPOLITAN NASHVILLE POLICE DEPT,20170869141,Davidson,Nashville,10/1/2017 3:06:00 PM,2,1,0,36.158750,-86.792290,14TH AVN,,,,84.00,Feet,South,I40 E EXT RAMP,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Ryan,Cagle,Clear,Front to Rear,no,no,no,no,no,False
101778254,METROPOLITAN NASHVILLE POLICE DEPT,20170869106,Davidson,Not in City Limit,10/1/2017 2:42:00 PM,3,0,0,36.049200,-86.952700,OLD HARDING PKE,,,,0.00,,,,,,,0.00,,, ,Non-Junction,None,,,         ,Andrew,Brazee,Clear,Front to Rear,no,no,no,no,no,False
101778263,METROPOLITAN NASHVILLE POLICE DEPT,20170869107,Davidson,Nashville,10/1/2017 12:50:00 PM,2,0,0,36.148910,-86.746220,I 40,,,,0.00,,,,,,,211.85,N,Not at Intersection,Y,Non-Junction,None,,,         ,Johnathan,Pannell,Clear,Front to Rear,no,no,no,no,no,False
101778276,METROPOLITAN NASHVILLE POLICE DEPT,20170869184,Davidson,Nashville,10/1/2017 3:21:00 PM,2,0,0,36.216780,-86.623510,GRANWOOD BLVD,,,,0.00,Feet,,2ND ST,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Adam,Nicholson,Clear,Front to Rear,no,no,no,no,no,False
