master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
102937787,METROPOLITAN NASHVILLE POLICE DEPT,20210183408,Davidson,Nashville,4/1/2021 1:43:00 AM,1,0,0,36.143670,-86.696100,I40 E EXT RAMP,,,,0.00,Feet,East,I 40,,,,0.00,N,Not at Intersection,Y,Entrance/Exit Ramp Related,None,,,         ,Dallas,Johnson,,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102937788,METROPOLITAN NASHVILLE POLICE DEPT,20210183458,Davidson,Nashville,4/1/2021 2:15:00 AM,2,0,0,36.077680,-86.731910,HARDING PL,,,,100.00,Feet,West,MILNER DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Tony,Mingsing,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
102937845,METROPOLITAN NASHVILLE POLICE DEPT,20210183736,Davidson,Nashville,4/1/2021 5:46:00 AM,2,0,0,36.125370,-86.742350,GLENROSE AV,,,,10.00,Feet,West,FOSTER AV,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Joe,Hooper,Clear,Front to Rear,no,no,no,no,no,False
102937858,METROPOLITAN NASHVILLE POLICE DEPT,20210183799,Davidson,Nashville,4/1/2021 7:15:00 AM,2,0,0,36.153220,-86.822830,I 440,,,,0.00,,,,,,,0.70,N,Not at Intersection, ,Non-Junction,None,,,         ,Douglas,Atwood,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
102937878,METROPOLITAN NASHVILLE POLICE DEPT,20210183744,Davidson,Nashville,4/1/2021 6:50:00 AM,2,2,0,36.044890,-86.663830,BELL RD,,,,647.00,Feet,North,CANE RIDGE RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Stanley,Collins,Clear,Angle,no,no,no,no,no,False
102937881,METROPOLITAN NASHVILLE POLICE DEPT,20210183802,Davidson,Nashville,4/1/2021 7:26:00 AM,2,0,0,36.082100,-86.761700,I65 N EXT RAMP,,,,0.00,,,HARDING PL,,,,0.00,Y,Four-Way, ,Intersection-Related,None,,,         ,Earl,Davis,Clear,Front to Rear,no,no,no,no,no,False
102937886,METROPOLITAN NASHVILLE POLICE DEPT,20210183753,Davidson,Antioch,4/1/2021 6:58:00 AM,2,0,0,36.014240,-86.620160,I 24,,,,0.00,,,,,,,62.55,N,Not at Intersection,N,Non-Junction,None,,,         ,Lee,Davis,Clear,Front to Rear,no,no,no,no,no,False
102937901,METROPOLITAN NASHVILLE POLICE DEPT,20210183818,Davidson,Nashville,4/1/2021 7:35:00 AM,2,0,0,36.151670,-86.789520,DIVISION ST,,,,0.00,,,MUSIC CIRE,,,,0.00,Y,Four-Way, ,Intersection,None,,,         ,Earl,Davis,Clear,Angle,no,no,no,no,no,False
102937904,METROPOLITAN NASHVILLE POLICE DEPT,20210183842,Davidson,Nashville,4/1/2021 7:43:00 AM,2,0,0,36.090330,-86.626500,SMITH SPRINGS RD,,,,0.00,,,BELL RD,,,,0.00,Y,Four-Way, ,Intersection,None,,,         ,Michael,Brooks,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
102937914,METROPOLITAN NASHVILLE POLICE DEPT,20210183921,Davidson,Nashville,4/1/2021 8:11:00 AM,2,0,0,36.101010,-86.870800,HARDING PKE,,,,263.00,Feet,North,PAGE RD,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Curtis,Rich,Clear,Angle,no,no,no,no,no,False
102937915,METROPOLITAN NASHVILLE POLICE DEPT,20210183948,Davidson,Nashville,4/1/2021 8:58:00 AM,2,0,0,36.044770,-86.661460,BELL RD,,,,10.00,Feet,East,CANE RIDGE RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Joe,Hooper,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
102937917,METROPOLITAN NASHVILLE POLICE DEPT,20210183893,Davidson,Nashville,4/1/2021 8:20:00 AM,2,0,0,36.039740,-86.781520,I65 N EXT RAMP,,,,0.00,,,I 65,,,,0.00,Y,OTHER, ,Entrance/Exit Ramp Related,None,,,         ,Justin,mathias,Clear,Front to Rear,no,no,no,no,no,False
102937928,METROPOLITAN NASHVILLE POLICE DEPT,20210183918,Davidson,Nashville,4/1/2021 8:05:00 AM,2,0,0,36.100340,-86.871110,HARDING PKE,,,,0.00,,,PAGE RD,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Douglas,Atwood,Clear,Angle,no,no,no,no,no,False
102937930,METROPOLITAN NASHVILLE POLICE DEPT,20210183885,Davidson,Nashville,4/1/2021 7:55:00 AM,2,0,0,36.216730,-86.624020,GRANWOOD BLVD,,,,150.00,Feet,West,OLD HICKORY BLVD,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Michael,Brooks,Clear,Angle,no,no,no,no,no,False
102937936,METROPOLITAN NASHVILLE POLICE DEPT,20210183976,Davidson,Nashville,4/1/2021 9:17:00 AM,2,1,0,36.119580,-86.808750,HILLSBORO PKE,,,,0.00,,,STOKES LN,,,,0.00,Y,T-Intersection,N,Intersection,None,,,         ,Earl,Davis,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
102937946,METROPOLITAN NASHVILLE POLICE DEPT,20210183979,Davidson,Nashville,4/1/2021 9:00:00 AM,1,0,0,36.234590,-86.608460,SHUTE CIR,,,,233.00,Feet,North,SHUTE CT,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Michael,Brooks,Unknown,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
102937963,METROPOLITAN NASHVILLE POLICE DEPT,20210183964,Davidson,Nashville,4/1/2021 9:05:00 AM,2,1,0,36.131930,-86.895400,CHARLOTTE PKE,,,,40.00,Feet,East,OLD CHARLOTTE PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Douglas,Atwood,Clear,Front to Rear,no,no,no,no,no,False
102937967,METROPOLITAN NASHVILLE POLICE DEPT,20210184024,Davidson,Not in City Limit,4/1/2021 9:49:00 AM,2,0,0,36.326270,-86.882450,I 24,,,,0.00,,,,,,,34.20,N,Not at Intersection, ,Non-Junction,None,,,         ,William,Coy,Clear,Front to Rear,no,no,no,no,no,False
