master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
101155096,METROPOLITAN NASHVILLE POLICE DEPT,20160299508,Davidson,Nashville,4/1/2016 12:00:00 AM,2,0,0,36.161020,-86.777200,BROADWAY,,,,0.00,,,4TH AVN,,,,0.00,Y,Four-Way, ,Intersection-Related,None,,,         ,John,Anderson,Rain,"Sideswipe, Same Direction",no,no,no,no,no,False
101155166,METROPOLITAN NASHVILLE POLICE DEPT,20160299666,Davidson,Nashville,4/1/2016 12:00:00 AM,2,0,0,36.218560,-86.748020,HART LN,,,,119.00,Feet,East,ELLINGTON PKWY S EXT RAMP,,,,0.00,N,Not at Intersection, ,Entrance/Exit Ramp Related,None,,,         ,Terrance,McBride,Rain,"Sideswipe, Opposite Direction",no,no,no,no,yes,False
101155185,METROPOLITAN NASHVILLE POLICE DEPT,20160299880,Davidson,Nashville,4/1/2016 2:29:00 AM,1,0,0,36.158730,-86.818530,CLIFTON AV,,,,0.00,,,28TH AVN,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Trevin,Tolbert,Rain,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101155258,METROPOLITAN NASHVILLE POLICE DEPT,20160300346,Davidson,Nashville,4/1/2016 7:04:00 AM,2,0,0,36.145970,-86.626120,BELL RD,,,,173.00,Feet,North,LINCOYA BAY DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,DuJuan,Kendrick,Clear,Front to Rear,no,no,no,no,no,False
101155270,METROPOLITAN NASHVILLE POLICE DEPT,20160300448,Davidson,Nashville,4/1/2016 7:48:00 AM,2,0,0,36.164420,-86.615500,I 40,,,,0.00,,,,,,,220.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Evan,Hibschman,Clear,Front to Rear,no,no,no,no,no,False
101155284,METROPOLITAN NASHVILLE POLICE DEPT,20160300351,Davidson,Nashville,4/1/2016 7:05:00 AM,1,2,0,36.080630,-86.811130,TYNE BLVD,,,,74.00,Feet,South,HILDRETH DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Nathan,Kemp,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101155285,METROPOLITAN NASHVILLE POLICE DEPT,20160300442,Davidson,Nashville,4/1/2016 7:44:00 AM,3,0,0,36.094970,-86.801250,GRANNY WHITE PKE,,,,106.00,Feet,North,GLENDALE LN,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Darrell,Osment,Cloudy,Front to Rear,no,no,no,no,no,False
101155292,METROPOLITAN NASHVILLE POLICE DEPT,20160300428,Davidson,Nashville,4/1/2016 7:30:00 AM,3,1,0,36.170100,-86.821360,ED TEMPLE BLVD,,,,200.00,Feet,North,W HEIMAN ST,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Garren,Hoskins,Clear,Front to Rear,no,no,no,no,no,False
101155293,METROPOLITAN NASHVILLE POLICE DEPT,20160300357,Davidson,Nashville,4/1/2016 7:08:00 AM,1,2,0,36.176940,-86.800740,I 65,,,,0.00,,,,,,,84.80,N,Not at Intersection,N,Entrance/Exit Ramp Related,None,,,         ,Rodney,Clark,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101155294,METROPOLITAN NASHVILLE POLICE DEPT,20160300244,Davidson,Nashville,4/1/2016 5:58:00 AM,2,1,0,36.096840,-86.653300,REYNOLDS RD,,,,16.00,Feet,East,SMITH SPRINGS RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Bridget,Griepentrog,Fog,Front to Rear,no,no,no,no,no,False
101155308,METROPOLITAN NASHVILLE POLICE DEPT,20160300524,Davidson,Nashville,4/1/2016 8:18:00 AM,2,0,0,36.185530,-86.627230,CENTRAL PKE,,,,0.00,,,STONERS BEND DR,,,,0.00,Y,T-Intersection,Y,Intersection-Related,None,,,         ,Evan,Hibschman,Clear,Angle,no,no,no,no,no,False
101155312,METROPOLITAN NASHVILLE POLICE DEPT,20160300582,Davidson,Nashville,4/1/2016 8:39:00 AM,2,0,0,36.143000,-86.666640,DONELSON PKE,,,,256.00,Feet,North,I40 W ENT RAMP,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,DuJuan,Kendrick,Clear,Angle,no,no,no,no,no,False
101155326,METROPOLITAN NASHVILLE POLICE DEPT,20160300578,Davidson,Nashville,4/1/2016 8:36:00 AM,2,0,0,36.145870,-86.665910,ROYAL PKWY,,,,208.00,Feet,East,DONELSON PKE,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Wesley,Young,Clear,Angle,no,no,no,no,no,False
101155329,METROPOLITAN NASHVILLE POLICE DEPT,20160300877,Davidson,Nashville,4/1/2016 10:19:00 AM,2,0,0,36.141540,-86.740550,MURFREESBORO PKE,,,,0.00,Feet,,FOSTER AV,,,,0.00,Y,T-Intersection,N,Intersection,None,,,         ,Michael,Dance,Clear,Angle,no,no,no,no,no,False
101155335,METROPOLITAN NASHVILLE POLICE DEPT,2016-0300782,Davidson,Nashville,4/1/2016 9:45:00 AM,2,0,0,36.069120,-86.683840,ANTIOCH PKE,,,,0.00,,,RICHARDS RD,,,,0.00,Y,T-Intersection, ,Non-Junction,None,,,         ,John,Neely,Clear,Rear to Side,no,no,no,no,no,False
101155336,METROPOLITAN NASHVILLE POLICE DEPT,20160300675,Davidson,Nashville,4/1/2016 8:58:00 AM,2,0,0,36.157010,-86.633470,STEWARTS FERRY PKE,,,,243.00,Feet,West,LAUER DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Wesley,Young,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101155338,METROPOLITAN NASHVILLE POLICE DEPT,20160301019,Davidson,Nashville,4/1/2016 11:10:00 AM,2,0,0,36.157470,-86.802010,CHARLOTTE AV,,,,200.00,Feet,West,19TH AVN,,,,0.00,N,Not at Intersection, ,,None,,,         ,Garren,Hoskins,,,no,no,no,no,no,False
101155341,METROPOLITAN NASHVILLE POLICE DEPT,20160300968,Davidson,Old Hickory,4/1/2016 10:06:00 AM,2,0,0,0.000000,0.000000,ROBINSON ROAD,RD,SR1,,0.00,,,ELLISTON ST,ST,,,0.00,Y,T-Intersection,N,Intersection,None,,,         ,William,Mckay,Clear,Front to Rear,no,no,no,no,no,False
101155371,METROPOLITAN NASHVILLE POLICE DEPT,2016-0301110,Davidson,Nashville,4/1/2016 11:45:00 AM,2,0,0,36.157420,-86.760420,I 24,,,,0.00,,,,,,,49.60,N,Not at Intersection, ,Non-Junction,None,,,         ,Paul,Sorace,Clear,Front to Rear,no,no,no,no,no,False
101155376,METROPOLITAN NASHVILLE POLICE DEPT,20160300635,Davidson,Nashville,4/1/2016 8:30:00 AM,2,0,0,36.192410,-86.800370,ROSA L PARKS BLVD,,,,477.00,Feet,East,ATHENS WAY,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,James,Jarvis,Clear,Angle,no,no,no,no,no,False
101155389,METROPOLITAN NASHVILLE POLICE DEPT,20160301092,Davidson,Nashville,4/1/2016 12:00:00 AM,2,0,0,36.152290,-86.761970,CHARLES E DAVIS BLVD,,,,77.00,Feet,North,FAIN ST,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Ralph,Harvey,Unknown,Unknown,no,no,no,no,yes,False
101155438,METROPOLITAN NASHVILLE POLICE DEPT,20160301142,Davidson,Nashville,4/1/2016 11:48:00 AM,2,1,0,36.191840,-86.779570,I 65,,,,0.00,,,,,,,86.35,N,Not at Intersection,N,Non-Junction,None,,,         ,Pedro,Rivera Chaparro,Clear,Front to Rear,no,no,no,no,no,False
101155442,METROPOLITAN NASHVILLE POLICE DEPT,20160300505,Davidson,Nashville,4/1/2016 8:59:00 AM,1,0,0,36.200400,-86.754850,CHICKASAW AV,,,,176.00,Feet,West,MONTGOMERY AV,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Jared,Eaves,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101155443,METROPOLITAN NASHVILLE POLICE DEPT,20160300463,Davidson,Nashville,4/1/2016 7:56:00 AM,1,0,0,36.200400,-86.754850,CHICKASAW AV,,,,176.00,Feet,West,MONTGOMERY AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Jared,Eaves,Cloudy,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101155454,METROPOLITAN NASHVILLE POLICE DEPT,20160293372,Davidson,Nashville,4/1/2016 7:28:00 AM,2,0,0,36.169680,-86.821300,W HEIMAN ST,,,,0.00,Feet,,ED TEMPLE BLVD,,,,0.00,Y,Four-Way,N,Non-Junction,None,,,         ,Darryl,Morton,Clear,Front to Rear,no,no,no,no,no,False
101155458,METROPOLITAN NASHVILLE POLICE DEPT,20160301243,Davidson,Nashville,4/1/2016 1:09:00 PM,2,0,0,36.154240,-86.801440,20TH AVN,,,,55.00,Feet,South,STATE ST,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Darrell,Osment,Cloudy,Angle,no,no,no,no,no,False
101155460,METROPOLITAN NASHVILLE POLICE DEPT,20160301177,Davidson,Nashville,4/1/2016 12:18:00 PM,2,2,0,36.082680,-86.765120,HARDING PL,,,,0.00,Feet,,I65 S ENT RAMP,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Nathan,Kemp,Clear,Angle,no,no,no,no,no,False
101155461,METROPOLITAN NASHVILLE POLICE DEPT,20160301081,Davidson,Nashville,4/1/2016 11:35:00 AM,2,1,0,36.039540,-86.781720,I65 N EXT RAMP,,,,0.00,,,OLD HICKORY BLVD,,,,0.00,Y,Y-Intersection,N,Entrance/Exit Ramp Related,None,,,         ,Nathan,Kemp,Clear,Front to Rear,no,no,no,no,no,False
101155462,METROPOLITAN NASHVILLE POLICE DEPT,20160300988,Davidson,Nashville,4/1/2016 10:05:00 AM,3,0,0,36.044980,-86.724440,OLD HICKORY BLVD,,,,150.00,Feet,East,AMALIE DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Nathan,Kemp,Clear,Front to Rear,no,no,no,no,yes,False
101155492,METROPOLITAN NASHVILLE POLICE DEPT,20160301396,Davidson,Goodlettsville,4/1/2016 1:44:00 PM,2,0,0,36.303230,-86.691150,GALLATIN PKEN,,,,263.00,Feet,West,RIVERGATE MARKETPLACE PVTDR,,,,0.00,N,Not at Intersection, ,,None,,,         ,Joshua,Borum,,,no,no,no,no,no,False
101155509,METROPOLITAN NASHVILLE POLICE DEPT,20160300419,Davidson,Nashville,4/1/2016 7:15:00 AM,2,1,0,36.039570,-86.781680,I65 N EXT RAMP,,,,0.00,,,I 65,,,,0.00,Y,Y-Intersection,Y,Entrance/Exit Ramp Related,None,,,         ,Ronald,Raynore,Clear,Front to Rear,no,no,no,no,no,False
101155517,METROPOLITAN NASHVILLE POLICE DEPT,20160301417,Davidson,Nashville,4/1/2016 1:50:00 PM,2,0,0,36.045190,-86.715410,OLD HICKORY BLVD,,,,630.00,Feet,West,NOLENSVILLE PKE,,,,0.00,N,Not at Intersection, ,,None,,,         ,Tyler,Conrads,,,no,no,no,no,no,False
101155520,METROPOLITAN NASHVILLE POLICE DEPT,20160301387,Davidson,Nashville,4/1/2016 1:30:00 PM,3,2,0,36.161770,-86.779580,COMMERCE ST,,,,77.00,Feet,West,5TH AVN,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Shawn,Taylor,Clear,Front to Rear,no,no,no,no,no,False
101155527,METROPOLITAN NASHVILLE POLICE DEPT,20160300819,Davidson,Nashville,4/1/2016 9:39:00 AM,2,0,0,36.076240,-86.727590,EDMONDSON PKE,,,,0.00,,,,,,,0.00,,,N,Non-Junction,None,,,         ,Nathan,Smith,Clear,Angle,no,no,no,no,no,False
101155536,METROPOLITAN NASHVILLE POLICE DEPT,20160300466,Davidson,Nashville,4/1/2016 7:50:00 AM,3,0,0,36.169950,-86.591270,I 40,,,,0.00,,,,,,,221.40,N,Not at Intersection,N,Non-Junction,None,,,         ,William,Walls,Clear,Front to Rear,no,no,no,no,no,False
101155544,METROPOLITAN NASHVILLE POLICE DEPT,20160301459,Davidson,Nashville,4/1/2016 2:15:00 PM,2,0,0,36.158340,-86.759920,I 24,,,,0.00,,,,,,,49.60,N,Not at Intersection,N,Non-Junction,None,,,         ,Wesley,Young,Clear,Front to Rear,no,no,no,no,yes,False
101155547,METROPOLITAN NASHVILLE POLICE DEPT,20160301437,Davidson,Nashville,4/1/2016 2:07:00 PM,2,2,0,36.174530,-86.760930,S 7TH ST,,,,0.00,,,MAIN ST,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Andrew,Maholland,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101155565,METROPOLITAN NASHVILLE POLICE DEPT,2016-0300813,Davidson,Nashville,4/1/2016 9:52:00 AM,2,0,0,36.114840,-86.724740,I 24,,,,0.00,,,,,,,53.30,N,Not at Intersection,N,Non-Junction,None,,,         ,William,Whitworth,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
101155568,METROPOLITAN NASHVILLE POLICE DEPT,20160301512,Davidson,Nashville,4/1/2016 2:39:00 PM,2,0,0,36.106450,-86.767870,I 65,,,,0.00,,,,,,,79.45,N,Not at Intersection,N,Non-Junction,None,,,         ,Clyde,Stambaugh,Clear,Front to Rear,no,no,no,no,no,False
101155580,METROPOLITAN NASHVILLE POLICE DEPT,20160301510,Davidson,Nashville,4/1/2016 2:20:00 PM,2,0,0,36.189680,-86.674520,MCGAVOCK PKE,,,,536.00,Feet,South,JOYA DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Bryan,Byrnes,Clear,Angle,no,no,no,no,no,False
101155584,METROPOLITAN NASHVILLE POLICE DEPT,20160301604,Davidson,Nashville,4/1/2016 3:15:00 PM,2,1,0,36.174180,-86.603850,CENTRAL PKE,,,,112.00,Feet,East,SHURGARD WAY,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Dontaveous,Eubanks,Clear,Front to Rear,no,no,no,no,no,False
