master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
103260752,METROPOLITAN NASHVILLE POLICE DEPT,20220153325,Davidson,Nashville,4/1/2022 1:17:00 AM,1,0,0,36.143470,-86.699970,I40 E EXT RAMP,,,,0.00,Feet,East,I 40,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Dylan,Motes,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
103260764,METROPOLITAN NASHVILLE POLICE DEPT,20220153313,Davidson,Nashville,4/1/2022 12:55:00 AM,2,0,0,36.161320,-86.776490,BROADWAY,,,,173.00,Feet,West,3RD AVN,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Brenton,Adcox,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
103260765,METROPOLITAN NASHVILLE POLICE DEPT,20220153321,Davidson,Nashville,4/1/2022 1:16:00 AM,2,1,0,36.161260,-86.775790,3RD AVS,,,,113.00,Feet,South,BROADWAY,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Brenton,Adcox,Clear,"Sideswipe, Opposite Direction",no,no,no,no,no,False
103260772,METROPOLITAN NASHVILLE POLICE DEPT,20220153371,Davidson,Nashville,4/1/2022 2:21:00 AM,3,0,0,36.151260,-86.799560,WEST END AV,,,,78.00,Feet,West,20TH AVN,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Dillon,Deleacaes,Clear,Front to Rear,no,no,no,no,no,Campus
103260777,METROPOLITAN NASHVILLE POLICE DEPT,20220153310,Davidson,Nashville,4/1/2022 1:04:00 AM,2,0,0,36.182380,-86.799540,I 65,,,,0.00,,,,,,,86.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Martin,Brown,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
103260780,METROPOLITAN NASHVILLE POLICE DEPT,20220153413,Davidson,Nashville,4/1/2022 12:00:00 AM,2,1,0,36.209900,-86.775880,I 65,,,,0.00,,,,,,,87.55,N,Not at Intersection,N,Non-Junction,None,,,         ,Shaquille,Graham,Clear,Unknown,no,no,no,no,yes,False
103260791,METROPOLITAN NASHVILLE POLICE DEPT,20220153358,Davidson,Nashville,4/1/2022 2:02:00 AM,2,1,0,36.160710,-86.783280,ROSA L PARKS BLVD,,,,192.00,Feet,North,COMMERCE ST,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Kelly,Turcios,Clear,Front to Rear,no,no,no,no,no,False
103260795,METROPOLITAN NASHVILLE POLICE DEPT,20220153495,Davidson,Nashville,4/1/2022 4:56:00 AM,1,1,0,36.154190,-86.833790,I 40,,,,0.00,,,,,,,205.25,N,Not at Intersection,N,Non-Junction,None,,,         ,Theodore,Meskers,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
103260872,METROPOLITAN NASHVILLE POLICE DEPT,20220153582,Davidson,Nashville,4/1/2022 12:30:00 AM,1,0,0,36.078660,-86.622120,OWENDALE DR,,,,113.00,Feet,South,CHERRY HILLS DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Kaitlyn,Qualls,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
103260877,METROPOLITAN NASHVILLE POLICE DEPT,20220153591,Davidson,Nashville,4/1/2022 12:00:00 AM,2,0,0,36.169500,-86.671400,LEBANON PKE,,,,59.00,Feet,East,BLUEFIELD AV,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Adam,Gartner,Cloudy,"Sideswipe, Same Direction",no,no,no,no,yes,False
103260879,METROPOLITAN NASHVILLE POLICE DEPT,20220153604,Davidson,Nashville,4/1/2022 7:00:00 AM,2,0,0,36.065670,-86.917180,OLD HICKORY BLVD,,,,427.00,Feet,South,DEVON VALLEY DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Wesley,Tilley,Unknown,Angle,no,no,no,no,no,False
103260890,METROPOLITAN NASHVILLE POLICE DEPT,20220153585,Davidson,Nashville,4/1/2022 12:00:00 AM,2,0,0,36.130320,-86.727000,I 24,,,,0.00,,,,,,,51.30,N,Not at Intersection,N,Non-Junction,None,,,         ,Benjamin,Tasto,Clear,Front to Rear,no,no,no,no,no,False
103260931,METROPOLITAN NASHVILLE POLICE DEPT,20220153733,Davidson,Nashville,4/1/2022 12:00:00 AM,2,1,0,36.049650,-86.712680,ASH GROVE DR,,,,338.00,Feet,East,NOLENSVILLE PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,James,Gilliam,Clear,Front to Rear,no,no,no,no,no,False
103260960,METROPOLITAN NASHVILLE POLICE DEPT,20220153735,Davidson,Nashville,4/1/2022 8:31:00 AM,1,0,0,36.216290,-86.775270,I 65,,,,0.00,,,,,,,88.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Jeremy,Arnold,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
103261013,METROPOLITAN NASHVILLE POLICE DEPT,20220153930,Davidson,Nashville,4/1/2022 11:00:00 AM,2,0,0,36.183710,-86.747410,EASTLAND AV,,,,200.00,Feet,West,N 12TH ST,,,,0.00,N,Not at Intersection, ,"Driveway, Alley Access, etc",None,,,         ,Charis,Holland,Clear,Angle,no,no,no,no,no,False
103261030,METROPOLITAN NASHVILLE POLICE DEPT,20220153977,Davidson,Nashville,4/1/2022 11:00:00 AM,2,0,0,36.244330,-86.784570,I 24,,,,0.00,,,,,,,43.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Travis,Baxter,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
103261057,METROPOLITAN NASHVILLE POLICE DEPT,20220153876,Davidson,Nashville,4/1/2022 8:00:00 AM,2,0,0,36.126490,-86.845480,HARDING PKE,,,,0.00,,,RIDGEFIELD WAY,,,,0.00,Y,T-Intersection,N,Non-Junction,None,,,         ,Nicholaus,George,Clear,Angle,no,no,no,no,no,False
103261066,METROPOLITAN NASHVILLE POLICE DEPT,20220153942,Davidson,Nashville,4/1/2022 11:00:00 AM,2,0,0,36.024000,-86.742420,EDMONDSON PKE,,,,112.00,Feet,South,MT PISGAH RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Scott,St. John,Clear,"Sideswipe, Opposite Direction",no,no,no,no,no,False
103261094,METROPOLITAN NASHVILLE POLICE DEPT,20220154103,Davidson,Nashville,4/1/2022 12:58:00 PM,2,0,0,36.198690,-86.737580,BRONTE AV,,,,41.00,Feet,North,DELMAS AV,,,,0.00,N,Not at Intersection, ,,None,,,         ,Jason,Milyaro Lucas,,,no,no,no,no,no,False
103261095,METROPOLITAN NASHVILLE POLICE DEPT,2022154143,Davidson,Nashville,4/1/2022 12:32:00 PM,2,0,0,36.155420,-86.775110,5TH AVS,,,,54.00,Feet,South,PEABODY ST,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Wesley,Young,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
103261125,METROPOLITAN NASHVILLE POLICE DEPT,20220153900,Davidson,Nashville,4/1/2022 10:23:00 AM,3,0,0,36.220250,-86.774200,I 65,,,,0.00,,,,,,,88.30,N,Not at Intersection, ,Non-Junction,None,,,         ,Steven,Meador,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
103261128,METROPOLITAN NASHVILLE POLICE DEPT,20220154129,Davidson,Nashville,4/1/2022 12:00:00 AM,2,0,0,36.118380,-86.698820,BRILEY PKWY N ENT RAMP,,,,0.00,Feet,East,BRILEY PKWYN,,,,0.00,N,Not at Intersection,N,Entrance/Exit Ramp Related,None,,,         ,Adam,Gartner,Clear,Front to Rear,no,no,no,no,no,False
103261138,METROPOLITAN NASHVILLE POLICE DEPT,2022-0154094,Davidson,Nashville,4/1/2022 12:45:00 PM,2,0,0,36.155300,-86.802230,20TH AVN,,,,0.00,,,PATTERSON ST,,,,0.00,Y,T-Intersection, ,Intersection,None,,,         ,Po,Cheng,Clear,Other,no,no,no,no,no,False
103261143,METROPOLITAN NASHVILLE POLICE DEPT,20220154170,Davidson,Nashville,4/1/2022 1:45:00 PM,2,0,0,36.145740,-86.764720,2ND AVS,,,,0.00,Feet,,CHESTNUT ST,,,,0.00,Y,OTHER, ,Intersection,None,,,         ,Brandon,O'Guin,Clear,Angle,no,no,no,no,no,False
103261144,METROPOLITAN NASHVILLE POLICE DEPT,20220154190,Davidson,Madison,4/1/2022 1:50:00 PM,1,0,1,36.264340,-86.728950,OLD HICKORY BLVDW,,,,376.00,Feet,East,N MARTHONA RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Donald,Davidson,Clear,Not Collision with Motor Vehicle in Transport,yes,no,no,no,no,False
103261148,METROPOLITAN NASHVILLE POLICE DEPT,20220154043,Davidson,Nashville,4/1/2022 11:30:00 AM,2,0,0,36.112480,-86.746040,NOLENSVILLE PKE,,,,91.00,Feet,South,MCCLAIN AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,William,McDaniel,Clear,Front to Rear,no,no,no,no,no,False
