master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
102612601,METROPOLITAN NASHVILLE POLICE DEPT,20200000241,Davidson,Nashville,1/1/2020 1:14:00 AM,2,0,0,36.187990,-86.798170,DOMINICAN DR,,,,93.00,Feet,East,ROSA L PARKS BLVD,,,,0.00,N,Not at Intersection, ,,None,,,         ,Daniel,Kallman,,,no,no,no,no,no,False
102612618,METROPOLITAN NASHVILLE POLICE DEPT,20200000230,Davidson,Nashville,1/1/2020 1:37:00 AM,2,0,0,36.038700,-86.730970,WOODLAND HILLS DR,,,,0.00,,,OLD HICKORY BLVD,,,,0.00,Y,T-Intersection, ,Intersection,None,,,         ,Brandon,Rardin,Clear,Other,no,no,no,no,no,False
102612623,METROPOLITAN NASHVILLE POLICE DEPT,20200000228,Davidson,Nashville,1/1/2020 1:38:00 AM,2,1,0,36.079600,-86.726320,NOLENSVILLE PKE,,,,0.00,,,HARDING PL,,,,0.00,Y,Four-Way,N,Intersection-Related,None,,,         ,William,Hamblen,Clear,Front to Rear,no,no,no,no,yes,False
102612624,METROPOLITAN NASHVILLE POLICE DEPT,20200000203,Davidson,Nashville,1/1/2020 1:03:00 AM,2,0,0,36.126350,-86.903630,I 40,,,,0.00,,,,,,,200.65,N,Not at Intersection,N,Non-Junction,None,,,         ,Aaron,Wigginton,Clear,Front to Rear,no,no,no,no,no,False
102612636,METROPOLITAN NASHVILLE POLICE DEPT,20200000064,Davidson,Nashville,1/1/2020 12:00:00 AM,1,1,0,36.116210,-86.696870,MURFREESBORO PKE,,,,161.00,Feet,East,MCGAVOCK PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Antoine,Maghamez,Clear,Not Collision with Motor Vehicle in Transport,yes,no,no,no,no,False
102612644,METROPOLITAN NASHVILLE POLICE DEPT,2020000229,Davidson,Nashville,1/1/2020 1:25:00 AM,2,1,0,36.165080,-86.769570,VICTORY AV,,,,100.00,Feet,East,S 1ST ST,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Donald,Davidson,Clear,Front to Rear,no,no,no,no,no,False
102612645,METROPOLITAN NASHVILLE POLICE DEPT,20200000247,Davidson,Nashville,1/1/2020 12:25:00 AM,2,0,0,36.174450,-86.789080,6TH AVN,,,,0.00,,,MADISON ST,,,,0.00,Y,T-Intersection,N,Non-Junction,None,,,         ,Craig,Amabile,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
102612647,METROPOLITAN NASHVILLE POLICE DEPT,20200000211,Davidson,Nashville,1/1/2020 1:25:00 AM,2,0,0,36.126700,-86.711090,EAST THOMPSON LN,,,,0.00,,,MURFREESBORO PKE,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Ralph,Smith IV,Clear,Front to Rear,no,no,no,no,no,False
102612648,METROPOLITAN NASHVILLE POLICE DEPT,20200000212,Davidson,Nashville,1/1/2020 1:25:00 AM,3,1,0,36.046300,-86.660970,I 24,,,,0.00,,,,,,,59.30,N,Not at Intersection,N,Non-Junction,None,,,         ,Rachel,Susee,Clear,Front to Rear,no,no,no,no,no,False
102612660,METROPOLITAN NASHVILLE POLICE DEPT,20200000353,Davidson,Nashville,1/1/2020 2:50:00 AM,1,1,0,36.149830,-86.796880,DIVISION ST,,,,53.00,Feet,West,LYLE AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Joseph,Jakes,Clear,Not Collision with Motor Vehicle in Transport,yes,no,no,no,yes,False
102612661,METROPOLITAN NASHVILLE POLICE DEPT,20200000329,Davidson,Nashville,1/1/2020 2:37:00 AM,2,1,0,36.062620,-86.626110,MURFREESBORO PKE,,,,1055.00,Feet,South,HAMILTON CHURCH RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Holly,Davis,Clear,Other,no,no,no,no,no,False
102612677,METROPOLITAN NASHVILLE POLICE DEPT,20200000400,Davidson,Nashville,1/1/2020 3:25:00 AM,2,1,0,36.129500,-86.714520,MILLWOOD DR,,,,0.00,,,,,,,0.00,,,N,Non-Junction,None,,,         ,Bradley,Pope,Clear,Angle,no,no,no,yes,yes,False
102612687,METROPOLITAN NASHVILLE POLICE DEPT,20200000299,Davidson,Nashville,1/1/2020 1:50:00 AM,4,0,0,36.043290,-86.622270,BENT WOOD CT,,,,48.00,Feet,West,BENT WOOD DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Candice,Soper,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
102612700,METROPOLITAN NASHVILLE POLICE DEPT,20200000416,Davidson,Nashville,1/1/2020 3:44:00 AM,1,1,0,36.094670,-86.736900,NOLENSVILLE PKE,,,,452.00,Feet,South,WHEELER AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Rachel,Susee,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102612701,METROPOLITAN NASHVILLE POLICE DEPT,20200000105,Davidson,Nashville,1/1/2020 12:35:00 AM,2,2,0,36.187150,-86.776070,I 24,,,,0.00,,,,,,,47.10,N,Not at Intersection,N,Non-Junction,None,,,         ,Kelcey,Bell,Clear,Angle,no,no,no,no,no,False
102612707,METROPOLITAN NASHVILLE POLICE DEPT,20200000511,Davidson,Nashville,1/1/2020 12:30:00 AM,2,0,0,36.173030,-86.792400,9TH AVN,,,,0.00,,,JEFFERSON ST,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Erik,Schall,Clear,Front to Rear,no,no,no,no,yes,False
102612708,METROPOLITAN NASHVILLE POLICE DEPT,20200000307,Davidson,Nashville,1/1/2020 2:25:00 AM,3,2,0,36.074480,-86.638650,MURFREESBORO PKE,,,,0.00,,,RURAL HILL RD,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Jacob,West,Clear,Angle,no,no,no,no,yes,False
