master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
101070033,METROPOLITAN NASHVILLE POLICE DEPT,20160000050,Davidson,Nashville,1/1/2016 12:00:00 AM,1,0,0,36.122250,-86.805770,-- UNKNOWN RAMP/ROAD --,,,,0.00,,,I 440,,,,0.00,Y,OTHER,Y,Entrance/Exit Ramp Related,None,,,         ,Robert,Buckman,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
101070040,METROPOLITAN NASHVILLE POLICE DEPT,20160000071,Davidson,Nashville,1/1/2016 12:00:00 AM,1,0,0,36.051210,-86.819080,CLUB DR,,,,317.00,Feet,South,PARK MEADOWS,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Jason,Thomas,Clear,Unknown,no,no,no,no,yes,False
101070075,METROPOLITAN NASHVILLE POLICE DEPT,20160000169,Davidson,Nashville,1/1/2016 1:26:00 AM,2,0,0,0.000000,0.000000,,,I24 W,,100.00,Feet,South,,,,,52.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Justin,Chisholm,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
101070081,METROPOLITAN NASHVILLE POLICE DEPT,20160000235,Davidson,Nashville,1/1/2016 12:32:00 AM,3,0,0,36.150860,-86.779240,8TH AVS,,,,0.00,,,FOGG ST,,,,0.00,Y,T-Intersection, ,Intersection,None,,,         ,Blake,Lutz,Clear,Front to Rear,no,no,no,no,no,False
101070083,METROPOLITAN NASHVILLE POLICE DEPT,2016-0000187,Davidson,Nashville,1/1/2016 12:00:00 AM,2,1,0,36.172050,-86.767410,JAMES ROBERTSON PKWY,,,,88.00,Feet,West,ELLINGTON PKWY N ENT RAMP,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Thomas,Miller,Clear,Front to Rear,no,no,no,no,no,False
101070095,METROPOLITAN NASHVILLE POLICE DEPT,20160000017,Davidson,Nashville,1/1/2016 12:00:00 AM,1,0,0,36.054720,-86.741580,MCMURRAY DR,,,,348.00,Feet,East,EDMONDSON PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Gilbert,Mana,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
101070107,METROPOLITAN NASHVILLE POLICE DEPT,20160000153,Davidson,Nashville,1/1/2016 12:45:00 AM,2,0,0,36.136490,-86.796730,BELCOURT AVE,,,,96.00,Feet,East,18TH AVE S,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Bryant,Presley,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
101070108,METROPOLITAN NASHVILLE POLICE DEPT,20160000286,Davidson,Nashville,1/1/2016 2:40:00 AM,1,1,0,36.152640,-86.830210,US HWY 70,,,,0.00,,,38TH AVE N,,,,0.00,Y,T-Intersection,N,Non-Junction,None,,,         ,Robert,Buckman,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101070117,METROPOLITAN NASHVILLE POLICE DEPT,20160000346,Davidson,Nashville,1/1/2016 3:20:00 AM,2,1,0,36.188080,-86.798490,ROSA L PARKS BLVD,,,,30.00,Feet,North,DOMINICAN DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Eric,Mumaw,Clear,HeadOn,no,no,no,no,no,False
101070118,METROPOLITAN NASHVILLE POLICE DEPT,2016-0000344,Davidson,Nashville,1/1/2016 3:23:00 AM,2,0,0,36.181180,-86.749480,GALLATIN AV,,,,56.00,Feet,South,MANSFIELD ST,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Spencer,Pittman,Clear,Angle,no,no,no,no,no,False
101070120,METROPOLITAN NASHVILLE POLICE DEPT,2016000446,Davidson,Nashville,1/1/2016 2:48:00 AM,2,0,0,36.153390,-86.820880,CHARLOTTE AV,,,,0.00,,,31ST AVN,,,,0.00,Y,Four-Way, ,Intersection-Related,None,,,         ,Harris,Smith,Clear,Angle,no,no,no,no,no,False
101070122,METROPOLITAN NASHVILLE POLICE DEPT,20160000138,Davidson,Nashville,1/1/2016 3:00:00 AM,2,0,0,36.163000,-86.768750,KOREAN VETERANS BLVD,,,,0.00,,,S 1ST ST,,,,0.00,Y,Four-Way, ,,None,,,         ,Craig,Oakley,,,no,no,no,no,no,False
101070132,METROPOLITAN NASHVILLE POLICE DEPT,20160000458,Davidson,Nashville,1/1/2016 12:00:00 AM,1,0,0,36.151960,-86.848560,US HWY 70,,,,0.00,,,51ST AVE N,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Benjamin,Fisher,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
101070137,METROPOLITAN NASHVILLE POLICE DEPT,20160000417,Davidson,Nashville,1/1/2016 3:54:00 AM,1,1,0,36.068800,-86.683560,ANTIOCH PKE,,,,145.00,Feet,South,RICHARDS RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Kurt,Lewton,Clear,Not Collision with Motor Vehicle in Transport,yes,no,no,no,no,False
101070139,METROPOLITAN NASHVILLE POLICE DEPT,20160000261,Davidson,Nashville,1/1/2016 1:55:00 AM,2,0,0,36.157070,-86.790370,I 40,,,,0.00,,,,,,,209.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Gilbert,Mana,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101070140,METROPOLITAN NASHVILLE POLICE DEPT,20160000313,Davidson,Nashville,1/1/2016 2:51:00 AM,2,0,0,36.084920,-86.703440,TRAVELERS INN DR,,,,0.00,,,HARDING PL,,,,0.00,Y,T-Intersection,Y,Intersection,None,,,         ,Kevin,Breeding,Clear,Front to Rear,no,no,no,no,no,False
101070144,METROPOLITAN NASHVILLE POLICE DEPT,20160000430,Davidson,Nashville,1/1/2016 12:00:00 AM,3,0,0,36.174230,-86.758540,WOODLAND ST,,,,0.00,,,S 8TH ST,,,,0.00,Y,Four-Way,N,Non-Junction,None,,,         ,Andrew,Mrosla,Clear,Front to Rear,no,no,no,yes,yes,False
101070151,METROPOLITAN NASHVILLE POLICE DEPT,20160000570,Davidson,Madison,1/1/2016 7:00:00 AM,1,0,0,36.257770,-86.738270,I 65,,,,0.00,,,,,,,91.80,N,Not at Intersection,N,Non-Junction,None,,,         ,Joshua,Borum,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101070172,METROPOLITAN NASHVILLE POLICE DEPT,20160000715,Davidson,Nashville,1/1/2016 12:00:00 AM,2,0,0,36.146050,-86.791380,VILLA PL,,,,209.00,Feet,South,GRAND AVE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Eric,Harvey,Unknown,Unknown,no,no,no,no,yes,False
101070176,METROPOLITAN NASHVILLE POLICE DEPT,20160000609,Davidson,Nashville,1/1/2016 7:40:00 AM,2,0,0,36.162750,-86.778510,4TH AVN,,,,186.00,Feet,North,COMMERCE ST,,,,0.00,N,Not at Intersection,N,OtherLocation,None,,,         ,Shawn,Taylor,Clear,Angle,no,no,no,yes,no,False
101070197,METROPOLITAN NASHVILLE POLICE DEPT,20160000868,Davidson,Nashville,1/1/2016 11:15:00 AM,2,0,0,36.210310,-86.728470,GREENFIELD AV,,,,0.00,,,KATHERINE ST,,,,0.00,Y,Four-Way, ,Intersection,None,,,         ,Coleman,Womack,Clear,Angle,no,no,no,no,no,False
101070232,METROPOLITAN NASHVILLE POLICE DEPT,20160000955,Davidson,Nashville,1/1/2016 11:21:00 AM,2,0,0,36.063560,-86.620510,HAMILTON GLEN PL,,,,31.00,Feet,West,HAMILTON GLEN DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Robert,Erickson,Clear,Rear to Side,no,no,no,no,no,False
101070234,METROPOLITAN NASHVILLE POLICE DEPT,20160000937,Davidson,Not in City Limit,1/1/2016 12:05:00 PM,1,0,0,36.059230,-86.948010,MORTON MILL RD,,,,0.00,,,HARPETH VIEW DR,,,,0.00,Y,T-Intersection, ,Intersection,None,,,         ,Brandon,Helms,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101070251,METROPOLITAN NASHVILLE POLICE DEPT,20160001014,Davidson,Nashville,1/1/2016 1:20:00 PM,2,0,0,36.206700,-86.779210,US HWY 431,,,,242.00,Feet,West,HAMPTON ST,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Brandon,Evans,Clear,Angle,no,no,no,no,no,False
101070271,METROPOLITAN NASHVILLE POLICE DEPT,2016-0000724,Davidson,Nashville,1/1/2016 9:33:00 AM,1,1,0,36.050880,-86.624970,MT VIEW RD,,,,688.00,Feet,North,SANTI LN,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,William,Whitworth,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101070275,METROPOLITAN NASHVILLE POLICE DEPT,2016-0000952,Davidson,Nashville,1/1/2016 1:00:00 AM,1,0,0,36.143500,-86.873950,US HWY 70,,,,0.00,,,,,,,0.00,,,N,Non-Junction,None,,,         ,Benjamin,Cantrell,Unknown,Not Collision with Motor Vehicle in Transport,no,no,no,yes,yes,False
