master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
102735202,METROPOLITAN NASHVILLE POLICE DEPT,20200436661,Davidson,Not in City Limit,7/1/2020 12:03:00 AM,1,0,0,36.261960,-86.703310,FOREST PARK RD,,,,23.00,Feet,North,MAPLE ST,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Jonathon,Sheppard,Rain,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102735207,METROPOLITAN NASHVILLE POLICE DEPT,20200436723,Davidson,Not in City Limit,7/1/2020 12:00:00 AM,1,0,0,36.094850,-86.937370,I 40,,,,0.00,,,,,,,197.80,N,Not at Intersection,N,Non-Junction,None,,,         ,Dallas,Johnson,Rain,Unknown,no,no,no,no,yes,False
102735216,METROPOLITAN NASHVILLE POLICE DEPT,20200436762,Davidson,Not in City Limit,7/1/2020 12:00:00 AM,1,0,0,36.004310,-86.626480,OLD HICKORY BLVD,,,,61.00,Feet,East,BATTLE RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Michael,Sipos,Rain,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
102735221,METROPOLITAN NASHVILLE POLICE DEPT,20200436745,Davidson,Nashville,7/1/2020 12:15:00 AM,2,0,0,36.155120,-86.829820,I 40,,,,0.00,,,,,,,205.50,N,Not at Intersection,N,Non-Junction,Maintenance Zone,Work On Shoulder Or Median,Before First Warning Area,         ,Kenneth,Bray,Rain,Front to Rear,no,no,no,no,yes,False
102735224,METROPOLITAN NASHVILLE POLICE DEPT,20200436893,Davidson,Nashville,7/1/2020 3:33:00 AM,3,0,0,36.153270,-86.756410,I 40,,,,0.00,,,,,,,211.20,N,Not at Intersection,N,Non-Junction,None,,,         ,Jeremy,Crisp,Rain,Front to Rear,no,no,no,no,yes,False
102735226,METROPOLITAN NASHVILLE POLICE DEPT,20200436883,Davidson,Nashville,7/1/2020 3:25:00 AM,1,1,0,36.107140,-86.719470,I24 W EXT RAMP,,,,0.00,Feet,East,I 24,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Jonathan,Handley,Rain,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102735230,METROPOLITAN NASHVILLE POLICE DEPT,20200436825,Davidson,Nashville,7/1/2020 2:45:00 AM,2,0,0,36.193870,-86.759430,DOUGLAS AV,,,,28.00,Feet,East,JONES AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Joao,Pinho,Cloudy,HeadOn,no,no,no,yes,yes,False
102735246,METROPOLITAN NASHVILLE POLICE DEPT,20200436973,Davidson,Nashville,7/1/2020 5:00:00 AM,2,1,0,36.225230,-86.760420,BEN ALLEN RD,,,,0.00,Feet,East,DICKERSON PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Joao,Pinho,Cloudy,"Sideswipe, Same Direction",no,no,no,no,no,False
102735259,METROPOLITAN NASHVILLE POLICE DEPT,20200437065,Davidson,Nashville,7/1/2020 6:25:00 AM,1,0,0,36.049440,-86.665820,I 24,,,,0.00,,,,,,,58.95,N,Not at Intersection,N,Non-Junction,None,,,         ,Kevin,Breeding,Cloudy,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102735354,METROPOLITAN NASHVILLE POLICE DEPT,20200437332,Davidson,Nashville,7/1/2020 12:00:00 AM,1,0,0,36.176410,-86.808390,WHELESS ST,,,,51.00,Feet,West,17TH AVE N,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Wesley,Young,Unknown,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
