master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
102867847,METROPOLITAN NASHVILLE POLICE DEPT,20210000131,Davidson,Nashville,1/1/2021 1:10:00 AM,1,0,0,36.150440,-86.770960,I 40,,,,0.00,,,,,,,210.35,N,Not at Intersection,N,Non-Junction,None,,,         ,Michael,Hodges,,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102867848,METROPOLITAN NASHVILLE POLICE DEPT,20210000147,Davidson,Nashville,1/1/2021 1:19:00 AM,1,0,0,36.103850,-86.667550,MURFREESBORO PKE,,,,280.00,Feet,East,OLD MURFREESBORO PKE,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Michael,Dance,,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102867849,METROPOLITAN NASHVILLE POLICE DEPT,20210000073,Davidson,Nashville,1/1/2021 12:30:00 AM,2,0,0,36.045700,-86.720790,OLD HICKORY BLVD,,,,0.00,,,HICKORY VILLA DR,,,,0.00,Y,OTHER,N,Non-Junction,None,,,         ,John,Frazier,Rain,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102867850,METROPOLITAN NASHVILLE POLICE DEPT,20210000156,Davidson,Nashville,1/1/2021 12:00:00 AM,1,0,0,36.103850,-86.667550,MURFREESBORO PKE,,,,280.00,Feet,East,OLD MURFREESBORO PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Michael,Dance,,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
102867854,METROPOLITAN NASHVILLE POLICE DEPT,20210000132,Davidson,Nashville,1/1/2021 1:02:00 AM,2,0,0,36.147210,-86.760380,PERKINS ST,,,,37.00,Feet,East,LINCOLN ST,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Garrett,Reingardt,,HeadOn,no,no,no,no,yes,False
102867856,METROPOLITAN NASHVILLE POLICE DEPT,20210000028,Davidson,Nashville,1/1/2021 12:07:00 AM,1,1,0,36.192160,-86.777430,I 65,,,,0.00,,,,,,,86.45,N,Not at Intersection,N,Entrance/Exit Ramp Related,None,,,         ,Joshua,Asbell,,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102867863,METROPOLITAN NASHVILLE POLICE DEPT,20210000256,Davidson,Nashville,1/1/2021 2:42:00 AM,2,0,0,36.144390,-86.695760,I 40,,,,0.00,,,,,,,215.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Michael,Dance,,Angle,no,no,no,no,yes,False
102867866,METROPOLITAN NASHVILLE POLICE DEPT,20210000164,Davidson,Nashville,1/1/2021 1:29:00 AM,2,0,0,36.225010,-86.806000,KNIGHT DR,,,,483.00,Feet,North,WHITES CREEK PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Joshua,Asbell,,"Sideswipe, Same Direction",no,no,no,no,yes,False
102867867,METROPOLITAN NASHVILLE POLICE DEPT,20210000204,Davidson,Nashville,1/1/2021 2:04:00 AM,1,0,0,36.165140,-86.804880,DR D B TODD JR BLVD,,,,45.00,Feet,South,MORENA ST,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Dakota,Vermillion,,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
102867868,METROPOLITAN NASHVILLE POLICE DEPT,20210000194,Davidson,Not in City Limit,1/1/2021 12:25:00 AM,1,0,0,36.258200,-86.764370,BELLSHIRE TERRACE DR,,,,257.00,Feet,West,TUCKAHOE DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Ashton,Hill,Rain,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
102867869,METROPOLITAN NASHVILLE POLICE DEPT,20210000213,Davidson,Nashville,1/1/2021 1:45:00 AM,3,0,0,36.142300,-86.742830,MURFREESBORO PKE,,,,0.00,,,POLK AV,,,,0.00,Y,T-Intersection,N,Non-Junction,None,,,         ,Garrett,Reingardt,,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102867871,METROPOLITAN NASHVILLE POLICE DEPT,20210000290,Davidson,Nashville,1/1/2021 12:00:00 AM,1,0,0,36.151390,-86.751220,I 40,,,,0.00,,,,,,,211.50,N,Not at Intersection,N,Non-Junction,None,,,         ,Michael,Dance,,Unknown,no,no,no,no,yes,False
102867885,METROPOLITAN NASHVILLE POLICE DEPT,20210000249,Davidson,Nashville,1/1/2021 2:37:00 AM,1,1,0,36.149330,-86.782090,I 40,,,,0.00,,,,,,,209.70,N,Not at Intersection,N,Non-Junction,None,,,         ,Reginald,Pierre-Paul,Rain,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102867890,METROPOLITAN NASHVILLE POLICE DEPT,20210000282,Davidson,Nashville,1/1/2021 12:00:00 AM,2,1,0,36.177490,-86.794260,ROSA L PARKS BLVD,,,,254.00,Feet,North,TAYLOR ST,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Eric,Schaefer,,Angle,no,no,no,no,yes,False
102867891,METROPOLITAN NASHVILLE POLICE DEPT,20210000292,Davidson,Nashville,1/1/2021 3:18:00 AM,1,0,0,36.230340,-86.769880,EWING DR,,,,281.00,Feet,East,HILLHURST DR,,,,0.00,N,Not at Intersection,N,OtherLocation,None,,,         ,Joshua,Whitworth,,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102867895,METROPOLITAN NASHVILLE POLICE DEPT,20210000246,Davidson,Nashville,1/1/2021 2:36:00 AM,2,0,0,36.134020,-86.722560,MURFREESBORO PKE,,,,0.00,Feet,West,PLUS PARK BLVD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Jason,Kedzierski,,Angle,no,no,no,no,no,False
