master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
100800666,METROPOLITAN NASHVILLE POLICE DEPT,2015-0304938,Davidson,Nashville,4/1/2015 6:55:00 AM,2,2,0,36.152940,-86.853260,-- UNKNOWN RAMP/ROAD --,,,,0.00,Feet,East,I 40,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Curtis,Rich,Clear,Front to Rear,no,no,no,no,no,False
100800669,METROPOLITAN NASHVILLE POLICE DEPT,20150304984,Davidson,Nashville,4/1/2015 7:22:00 AM,2,0,0,36.040290,-86.745040,STATE HWY 254,,,,468.00,Feet,West,EDMONDSON PIKE,,,,0.00,N,Not at Intersection, ,Non-Junction,Construction Zone,,,         ,Arthur,Hummell,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
100800670,METROPOLITAN NASHVILLE POLICE DEPT,2015-0304300,Davidson,Nashville,4/1/2015 1:01:00 AM,2,2,0,36.064760,-86.628450,HAMILTON CHURCH RD,,,,0.00,,,US HWY 41,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Eric,Dandy,Clear,Angle,no,no,no,no,yes,False
100800688,METROPOLITAN NASHVILLE POLICE DEPT,2015-0304913,Davidson,Nashville,4/1/2015 6:45:00 AM,2,0,0,36.181170,-86.764270,MARINA ST,,,,0.00,,,N 5TH ST,,,,0.00,Y,OTHER, ,Non-Junction,None,,,         ,Kenneth,Bray,Clear,Front to Rear,no,no,no,no,no,False
100800689,METROPOLITAN NASHVILLE POLICE DEPT,20150305069,Davidson,Nashville,4/1/2015 7:50:00 AM,2,0,0,36.141880,-86.637300,ELM HILL PIKE,,,,26.00,Feet,West,TRAILS END LN,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Gerald,Gomes,Clear,Front to Rear,no,no,no,no,no,False
100800698,METROPOLITAN NASHVILLE POLICE DEPT,20150304928,Davidson,Nashville,4/1/2015 7:03:00 AM,2,0,0,36.171560,-86.769270,RAMP,,,,0.00,,,US HWY 31,,,,0.00,Y,Y-Intersection, ,Intersection-Related,None,,,         ,Michael,Johnson,Clear,Front to Rear,no,no,no,no,no,False
100800699,METROPOLITAN NASHVILLE POLICE DEPT,20150305232,Davidson,Nashville,4/1/2015 9:07:00 AM,2,0,0,36.180630,-86.788280,3RD AVE N,,,,0.00,,,VAN BUREN ST,,,,0.00,Y,Four-Way, ,Intersection,None,,,         ,Michael,Johnson,Clear,Front to Rear,no,no,no,no,no,False
100800700,METROPOLITAN NASHVILLE POLICE DEPT,20150305187,Davidson,Nashville,4/1/2015 8:38:00 AM,2,0,0,36.086910,-86.730230,US HWY 31 ALT,,,,0.00,,,ELYSIAN FIELDS CT,,,,0.00,Y,Four-Way, ,Intersection,None,,,         ,Nathan,Kemp,Clear,Angle,no,no,no,no,no,False
100800703,METROPOLITAN NASHVILLE POLICE DEPT,20150305225,Davidson,Nashville,4/1/2015 9:12:00 AM,2,0,0,0.000000,0.000000,,,I40 W,,150.00,Feet,East,,,,,209.00,N,Not at Intersection, ,Entrance/Exit Ramp Related,None,,,         ,Darren,Key,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
100800704,METROPOLITAN NASHVILLE POLICE DEPT,2015-0305312,Davidson,Nashville,4/1/2015 9:22:00 AM,2,0,0,36.108670,-86.812140,GLEN ECHO RD,,,,0.00,,,US HWY 431,,,,0.00,Y,Four-Way, ,Intersection,Construction Zone,,,         ,Curtis,Rich,Clear,Front to Rear,no,no,no,no,no,False
100800712,METROPOLITAN NASHVILLE POLICE DEPT,20150305009,Davidson,Nashville,4/1/2015 7:23:00 AM,2,0,0,36.158050,-86.799950,18TH AVE N,,,,0.00,,,US HWY 70,,,,0.00,Y,Four-Way, ,,None,,,         ,Nathan,Mayo,,,no,no,no,no,no,False
100800715,METROPOLITAN NASHVILLE POLICE DEPT,20150305012,Davidson,Nashville,4/1/2015 8:00:00 AM,2,0,0,36.243200,-86.747740,-- UNKNOWN RAMP/ROAD --,,,,0.00,,,I 65,,,,0.00,Y,OTHER, ,Entrance/Exit Ramp Related,None,,,         ,Jeffery,Burnette,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
100800732,METROPOLITAN NASHVILLE POLICE DEPT,20150305318,Davidson,Nashville,4/1/2015 9:20:00 AM,2,0,0,36.167080,-86.787050,US HWY 31,,,,40.00,Feet,South,US HWY 41 ALT,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Catherine,Poole,Clear,Angle,no,no,no,no,no,False
