master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
101688338,METROPOLITAN NASHVILLE POLICE DEPT,20170576947,Davidson,Nashville,7/1/2017 12:00:00 AM,2,0,0,36.154900,-86.788140,13TH AVS,,,,21.00,Feet,East,MCGAVOCK ST,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Hunter,Fikes,Rain,Front to Rear,no,no,no,no,no,False
101688339,METROPOLITAN NASHVILLE POLICE DEPT,20170576936,Davidson,Nashville,7/1/2017 12:00:00 AM,2,1,0,36.153470,-86.764430,I 40,,,,0.00,,,,,,,210.70,N,Not at Intersection,N,Non-Junction,None,,,         ,Jeremy,King,Rain,Front to Rear,no,no,no,no,no,False
101688345,METROPOLITAN NASHVILLE POLICE DEPT,20170577192,Davidson,Nashville,7/1/2017 12:43:00 AM,2,0,0,36.087300,-86.717580,JONQUIL DR,,,,254.00,Feet,South,OLD PARAGON MILLS RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Douglas,Sykes,Clear,Rear to Side,no,no,no,yes,yes,False
101688359,METROPOLITAN NASHVILLE POLICE DEPT,20170577053,Davidson,Nashville,7/1/2017 12:35:00 AM,1,0,0,36.160310,-86.585440,S NEW HOPE RD,,,,115.00,Feet,South,BAYPOINTE DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Emily,Mulready,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101688399,METROPOLITAN NASHVILLE POLICE DEPT,20170576882,Davidson,Nashville,7/1/2017 12:00:00 AM,2,0,0,36.184490,-86.758300,N 9TH ST,,,,70.00,Feet,South,CLEVELAND ST,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Amanda,Hane,Unknown,Unknown,no,no,no,no,yes,False
101688401,METROPOLITAN NASHVILLE POLICE DEPT,20170576985,Davidson,Nashville,7/1/2017 12:22:00 AM,3,0,0,36.206690,-86.736320,GALLATIN PKE,,,,124.00,Feet,South,MAYNOR AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Samuel,Kersten,Clear,Angle,no,no,no,no,no,False
101688402,METROPOLITAN NASHVILLE POLICE DEPT,20170577401,Davidson,Nashville,7/1/2017 3:29:00 AM,1,0,0,36.212080,-86.691290,BRILEY PKWYN,,,,195.00,Feet,South,BRILEY PKWYS,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Curtis,Fisher,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101688404,METROPOLITAN NASHVILLE POLICE DEPT,20170577179,Davidson,Not in City Limit,7/1/2017 1:07:00 AM,1,0,0,36.021380,-86.711380,NOLENSVILLE PKE,,,,0.00,Feet,,BIENVILLE DR,,,,0.00,Y,T-Intersection,N,Intersection,None,,,         ,Autumn,Manning,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101688405,METROPOLITAN NASHVILLE POLICE DEPT,20170577103,Davidson,Not in City Limit,7/1/2017 1:07:00 AM,1,1,0,36.021380,-86.711380,NOLENSVILLE PKE,,,,0.00,,,BIENVILLE DR,,,,0.00,Y,T-Intersection,N,Intersection,None,,,         ,William,Coy,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101688409,METROPOLITAN NASHVILLE POLICE DEPT,20170577379,Davidson,Nashville,7/1/2017 1:26:00 AM,2,0,0,36.147270,-86.744840,I40 E EXT RAMP,,,,0.00,,,I 40,,,,0.00,Y,Y-Intersection, ,Entrance/Exit Ramp Related,None,,,         ,Johan,Kinberg,Cloudy,"Sideswipe, Same Direction",no,no,no,no,yes,False
101688410,METROPOLITAN NASHVILLE POLICE DEPT,20170577429,Davidson,Nashville,7/1/2017 3:40:00 AM,2,0,0,36.155040,-86.797520,18TH AVN,,,,0.00,,,CHURCH ST,,,,0.00,Y,Four-Way,Y,Intersection,None,,,         ,Ryan,Worstall,Clear,"Sideswipe, Opposite Direction",no,no,no,no,yes,False
101688416,GOODLETTSVILLE POLICE DEPT,17-22964,Davidson,Goodlettsville,7/1/2017 1:00:00 AM,2,0,0,36.304760,-86.700550,RIVERGATE MALL PVTDR,,,,101.00,Feet,North,VIETNAM VETERANS BLVDN,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Andre,Sanders,Cloudy,Angle,no,no,no,yes,yes,False
101688417,METROPOLITAN NASHVILLE POLICE DEPT,20170577436,Davidson,Nashville,7/1/2017 3:52:00 AM,1,0,0,36.128710,-86.754110,NOLENSVILLE PKE,,,,189.00,Feet,North,CARSON ST,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Kevin,McGinniss,Cloudy,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101688422,METROPOLITAN NASHVILLE POLICE DEPT,20170577353,Davidson,Nashville,7/1/2017 1:43:00 AM,1,0,0,36.134130,-86.725990,I24 W EXT RAMP,,,,0.00,Feet,East,I 24,,,,0.00,N,Not at Intersection,Y,Entrance/Exit Ramp Related,None,,,         ,Douglas,Sykes,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
