master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
101492699,METROPOLITAN NASHVILLE POLICE DEPT,20170000151,Davidson,Nashville,1/1/2017 1:08:00 AM,2,0,0,36.178540,-86.605810,I40 W ENT RAMP,,,,307.00,Feet,South,OLD HICKORY BLVD,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Daniel,Caruth,Rain,"Sideswipe, Same Direction",no,no,no,no,no,False
101492716,METROPOLITAN NASHVILLE POLICE DEPT,20170000125,Davidson,Nashville,1/1/2017 12:35:00 AM,2,0,0,36.111010,-86.712940,BRILEY PKWYN,,,,122.00,Feet,West,DRUMMOND DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Erik,Dabbs,Rain,Front to Rear,no,no,no,no,no,False
101492719,METROPOLITAN NASHVILLE POLICE DEPT,20170000222,Davidson,Nashville,1/1/2017 1:37:00 AM,3,0,0,36.176540,-86.769980,SPRING ST,,,,79.00,Feet,West,I24 W EXT RAMP,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Ky,Luu,Rain,Front to Rear,no,no,no,no,no,False
101492724,METROPOLITAN NASHVILLE POLICE DEPT,20170000016,Davidson,Nashville,1/1/2017 12:50:00 AM,1,4,0,36.045330,-86.778760,I65 N ENT RAMP,,,,0.00,,,I 65,,,,0.00,Y,OTHER,Y,Entrance/Exit Ramp Related,None,,,         ,Ryan,Worstall,Rain,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101492727,METROPOLITAN NASHVILLE POLICE DEPT,20170000049,Davidson,Nashville,1/1/2017 12:23:00 AM,2,0,0,36.152480,-86.802700,21ST AVN,,,,0.00,Feet,,CHURCH ST,,,,0.00,Y,T-Intersection, ,Intersection,None,,,         ,Craig,Oakley,Rain,Angle,no,no,no,no,no,Campus
101492738,METROPOLITAN NASHVILLE POLICE DEPT,20170000123,Davidson,Nashville,1/1/2017 12:50:00 AM,1,0,0,36.224440,-86.774540,I 65,,,,0.00,,,,,,,88.55,N,Not at Intersection,N,Non-Junction,None,,,         ,Geoffrey,Daugherty,Rain,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101492746,METROPOLITAN NASHVILLE POLICE DEPT,20170000264,Davidson,Nashville,1/1/2017 1:45:00 AM,2,0,0,36.150640,-86.770470,4TH AVS,,,,69.00,Feet,North,I40 E EXT RAMP,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Stephen,Waterman,Rain,Front to Rear,no,no,no,no,no,False
101492747,METROPOLITAN NASHVILLE POLICE DEPT,20170000355,Davidson,Nashville,1/1/2017 2:48:00 AM,3,1,0,36.155370,-86.790340,BROADWAY,,,,49.00,Feet,West,15TH AVS,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Eric,Westbrook,Rain,Front to Rear,no,no,no,no,no,False
101492772,METROPOLITAN NASHVILLE POLICE DEPT,20170000421,Davidson,Nashville,1/1/2017 3:09:00 AM,1,0,0,36.135870,-86.727490,I24 E EXT RAMP,,,,0.00,Feet,East,I 24,,,,0.00,N,Not at Intersection,N,Entrance/Exit Ramp Related,None,,,         ,Autumn,Manning,Rain,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101492774,METROPOLITAN NASHVILLE POLICE DEPT,20170000242,Davidson,Nashville,1/1/2017 1:37:00 AM,2,3,0,36.143500,-86.794410,EDGEHILL AV,,,,0.00,Feet,,17TH AVS,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Eugene,Martino,Rain,Angle,no,no,no,no,no,Campus
101492776,METROPOLITAN NASHVILLE POLICE DEPT,20170000166,Davidson,Nashville,1/1/2017 1:12:00 AM,4,0,0,36.166640,-86.764720,SHELBY AV,,,,50.00,Feet,West,I24 W ENT RAMP,,,,0.00,N,Not at Intersection,Y,Crossover-Related,None,,,         ,Kelcey,Bell,Rain,Front to Rear,no,no,no,no,yes,False
101492781,METROPOLITAN NASHVILLE POLICE DEPT,20170000406,Davidson,Nashville,1/1/2017 2:30:00 AM,2,0,0,36.170620,-86.797970,I 40,,,,0.00,,,,,,,208.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Nicholas,Diamond,Rain,Front to Rear,no,no,no,no,yes,False
101492789,METROPOLITAN NASHVILLE POLICE DEPT,20170000440,Davidson,Nashville,1/1/2017 3:38:00 AM,2,0,0,36.153860,-86.756170,HERMITAGE AV,,,,0.00,,,FAIRFIELD AV,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Anthony,Russo,Rain,Front to Rear,no,no,no,no,no,False
101492791,METROPOLITAN NASHVILLE POLICE DEPT,20170000061,Davidson,Nashville,1/1/2017 12:17:00 AM,1,0,0,36.066970,-86.687130,I 24,,,,0.00,,,,,,,57.20,N,Not at Intersection,N,Non-Junction,None,,,         ,Dezmond,Hughes,Rain,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101492793,METROPOLITAN NASHVILLE POLICE DEPT,2017-0000036,Davidson,Nashville,1/1/2017 12:12:00 AM,2,0,0,36.191540,-86.827730,CLARKSVILLE PKE,,,,381.00,Feet,West,CLIFF DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Anthony,Cavis,Rain,Front to Rear,no,no,no,no,no,False
