master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
102346874,METROPOLITAN NASHVILLE POLICE DEPT,20190249384,Davidson,Nashville,4/1/2019 12:18:00 AM,1,1,0,36.063840,-86.678330,ANTIOCH PKE,,,,650.00,Feet,South,MILL CREEK BLUE HOLE GRNWY,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Alex,DiBernardo,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102346893,METROPOLITAN NASHVILLE POLICE DEPT,20190249367,Davidson,Nashville,4/1/2019 12:14:00 AM,2,0,0,36.180590,-86.796350,GARFIELD ST,,,,0.00,,,ROSA L PARKS BLVD,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Colin,Bleem,Clear,Angle,no,no,no,no,yes,False
102346907,METROPOLITAN NASHVILLE POLICE DEPT,20190249668,Davidson,Nashville,4/1/2019 12:00:00 AM,1,1,0,36.123540,-86.822450,WOODLAWN DR,,,,115.00,Feet,East,TIMBER LN,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Laura,Mullin,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102346910,METROPOLITAN NASHVILLE POLICE DEPT,20190249494,Davidson,Nashville,4/1/2019 1:10:00 AM,2,2,0,36.117000,-86.858680,HARDING PKE,,,,691.00,Feet,East,BONAVENTURE PL,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Joshua,Asbell,Clear,Front to Rear,no,no,no,no,no,False
102346920,METROPOLITAN NASHVILLE POLICE DEPT,20190249771,Davidson,Nashville,4/1/2019 12:40:00 AM,2,0,0,36.064240,-86.691130,HORIZON PARK APTS PVTDR,,,,187.00,Feet,East,PACKARD DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Kaleb,Stella,Clear,Rear to Rear,no,no,no,yes,yes,False
102346922,METROPOLITAN NASHVILLE POLICE DEPT,20190249664,Davidson,Nashville,4/1/2019 12:00:00 AM,1,0,0,36.179180,-86.752280,N 10TH ST,,,,0.00,,,,,,,0.00,,,N,Non-Junction,None,,,         ,Colin,Bleem,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,yes,no,False
102346940,METROPOLITAN NASHVILLE POLICE DEPT,20190249697,Davidson,Nashville,4/1/2019 3:00:00 AM,1,1,0,36.170190,-86.599210,I 40,,,,0.00,,,,,,,220.95,N,Not at Intersection,N,Non-Junction,None,,,         ,Brandon,Epps,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102346944,METROPOLITAN NASHVILLE POLICE DEPT,20190249827,Davidson,Nashville,4/1/2019 4:25:00 AM,1,0,0,36.154160,-86.757810,I 40,,,,0.00,,,,,,,211.10,N,Not at Intersection,Y,Entrance/Exit Ramp Related,None,,,         ,Joseph,Zambardi,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102346965,METROPOLITAN NASHVILLE POLICE DEPT,20190250108,Davidson,Not in City Limit,4/1/2019 6:05:00 AM,1,0,0,36.074030,-86.935310,COLICE JEANNE RD,,,,0.00,,,HIGHWAY 70S,,,,0.00,Y,Four-Way,N,Intersection-Related,None,,,         ,Jackson,Smythe,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102346968,METROPOLITAN NASHVILLE POLICE DEPT,20190250070,Davidson,Nashville,4/1/2019 5:50:00 AM,2,2,0,36.080400,-86.685750,ANTIOCH PKE,,,,18.00,Feet,West,FRANKLIN LIMESTONE RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,William,Williams,Clear,Front to Rear,no,no,no,no,no,False
102346978,METROPOLITAN NASHVILLE POLICE DEPT,20190249800,Davidson,Nashville,4/1/2019 2:48:00 AM,3,0,0,36.045480,-86.647290,CROSSINGS BLVD,,,,0.00,,,MT VIEW RD,,,,0.00,Y,Four-Way,Y,Intersection-Related,None,,,         ,Teresah,Pinho,Clear,"Sideswipe, Opposite Direction",no,no,no,no,yes,False
