master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
102433427,METROPOLITAN NASHVILLE POLICE DEPT,20190494284,Davidson,Nashville,7/1/2019 12:00:00 AM,2,0,0,36.161580,-86.783890,ROSA L PARKS BLVD,,,,0.00,,,CHURCH ST,,,,0.00,Y,Four-Way,N,Intersection-Related,None,,,         ,Hunter,Fikes,Clear,Angle,no,no,no,no,no,False
102433471,METROPOLITAN NASHVILLE POLICE DEPT,20190494448,Davidson,Nashville,7/1/2019 1:11:00 AM,2,0,0,36.143250,-86.704860,I 40,,,,0.00,,,,,,,214.50,N,Not at Intersection,N,Non-Junction,None,,,         ,Meghan,Pope,Clear,Front to Rear,no,no,no,no,yes,False
102433511,METROPOLITAN NASHVILLE POLICE DEPT,20190494812,Davidson,Goodlettsville,7/1/2019 6:05:00 AM,2,0,0,36.291570,-86.735740,DICKERSON PKES,,,,426.00,Feet,South,CAMPBELL RD,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Ashton,Hill,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
102433512,METROPOLITAN NASHVILLE POLICE DEPT,20190494713,Davidson,Nashville,7/1/2019 4:42:00 AM,1,1,0,36.175720,-86.770500,I24 W ENT RAMP,,,,0.00,Feet,East,I 24,,,,0.00,N,Not at Intersection,Y,Entrance/Exit Ramp Related,None,,,         ,Joshua,Whitworth,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102433554,METROPOLITAN NASHVILLE POLICE DEPT,20190494808,Davidson,Nashville,7/1/2019 6:08:00 AM,2,0,0,36.151300,-86.769750,LAFAYETTE ST,,,,0.00,,,4TH AVS,,,,0.00,Y,Four-Way,N,Intersection-Related,None,,,         ,Hunter,Fikes,Clear,Angle,no,no,no,no,no,False
102433557,METROPOLITAN NASHVILLE POLICE DEPT,20190494886,Davidson,Nashville,7/1/2019 12:00:00 AM,2,0,0,36.162650,-86.861660,MORROW RD,,,,167.00,Feet,West,60TH AVN,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Curtis,Rich,Unknown,Front to Rear,no,no,no,no,yes,False
102433568,METROPOLITAN NASHVILLE POLICE DEPT,20190494844,Davidson,Not in City Limit,7/1/2019 12:00:00 AM,2,0,0,36.324580,-86.872850,I24 E EXT RAMP,,,,0.00,Feet,East,I 24,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Fabjan,Llukaj,Clear,Front to Rear,no,no,no,no,no,False
102433570,METROPOLITAN NASHVILLE POLICE DEPT,20190494944,Davidson,Nashville,7/1/2019 7:18:00 AM,2,0,0,36.143790,-86.688890,I40 W EXT RAMP,,,,0.00,Feet,East,I 40,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Tien,Nguyen,Clear,Front to Rear,no,no,no,no,no,False
102433571,METROPOLITAN NASHVILLE POLICE DEPT,20190494937,Davidson,Not in City Limit,7/1/2019 7:25:00 AM,2,0,0,36.078380,-87.022110,MCCRORY LN,,,,181.00,Feet,South,NEWSOM STATION RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Douglas,Atwood,Clear,Angle,no,no,no,no,no,False
102433590,METROPOLITAN NASHVILLE POLICE DEPT,20190494957,Davidson,Not in City Limit,7/1/2019 7:55:00 AM,2,0,0,36.264070,-86.690290,STATE RT 45,,,,0.00,,,MYATT DR,,,,0.00,Y,Four-Way, ,,None,,,         ,Blake,McKay,,,no,no,no,no,no,False
