master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
101599994,METROPOLITAN NASHVILLE POLICE DEPT,20170287852,Davidson,Nashville,4/1/2017 3:00:00 AM,2,0,0,36.156020,-86.788860,GEORGE L DAVIS BLVD,,,,4.00,Feet,North,BROADWAY,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Gregory,Scott,Clear,Angle,no,no,no,no,no,False
101600004,METROPOLITAN NASHVILLE POLICE DEPT,2017-0287565,Davidson,Old Hickory,4/1/2017 12:59:00 AM,1,0,0,36.272650,-86.664080,ENSLEY AV,,,,68.00,Feet,South,SWINGING BRIDGE RD,,,,0.00,N,Not at Intersection,N,"Driveway, Alley Access, etc",None,,,         ,Emily,Mulready,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101600005,METROPOLITAN NASHVILLE POLICE DEPT,20170287908,Davidson,Nashville,4/1/2017 3:40:00 AM,1,0,0,36.251350,-86.758790,MULBERRY DOWNS CIR,,,,413.00,Feet,West,DICKERSON PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Rudy,Basaldua,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101600006,METROPOLITAN NASHVILLE POLICE DEPT,20170287700,Davidson,Nashville,4/1/2017 1:45:00 AM,2,0,0,36.170400,-86.768450,INTERSTATE DR,,,,0.00,,,WOODLAND ST,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Damon,Hutcheson,Cloudy,Angle,no,no,no,no,no,False
101600017,METROPOLITAN NASHVILLE POLICE DEPT,20170287550,Davidson,Nashville,4/1/2017 12:45:00 AM,2,0,0,36.205040,-86.756550,E TRINITY LN,,,,315.00,Feet,East,JONES AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Derrick,Toney,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101600018,METROPOLITAN NASHVILLE POLICE DEPT,20170288000,Davidson,Nashville,4/1/2017 4:50:00 AM,1,1,0,36.228420,-86.725230,GALLATIN PKE,,,,97.00,Feet,North,GWYNN DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Wallis,Massey,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101600020,METROPOLITAN NASHVILLE POLICE DEPT,20170287975,Davidson,Nashville,4/1/2017 4:32:00 AM,2,0,0,36.039810,-86.636950,OLD FRANKLIN RD,,,,0.00,,,,,,,0.00,,, ,Non-Junction,None,,,         ,William,Coy,Clear,Angle,no,no,no,yes,no,False
101600042,METROPOLITAN NASHVILLE POLICE DEPT,20170287742,Davidson,Nashville,4/1/2017 12:00:00 AM,1,1,0,36.176710,-86.772030,SPRING ST,,,,84.00,Feet,East,I24 W EXT RAMP,,,,0.00,N,Not at Intersection,Y,Entrance/Exit Ramp Related,None,,,         ,Derrick,Toney,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101600082,METROPOLITAN NASHVILLE POLICE DEPT,20170288233,Davidson,Nashville,4/1/2017 7:41:00 AM,2,0,0,36.077600,-86.741350,HARDING PL,,,,386.00,Feet,West,BINKLEY DR,,,,0.00,N,Not at Intersection,N,Non-Junction,Work Zone,Laneclosure,Transition Area,         ,Nathan,Kemp,Clear,Front to Rear,no,no,no,no,no,False
101600094,METROPOLITAN NASHVILLE POLICE DEPT,20170288231,Davidson,Nashville,4/1/2017 7:38:00 AM,2,0,0,36.054580,-86.673950,I 24,,,,0.00,,,,,,,58.35,N,Not at Intersection,N,Non-Junction,None,,,         ,Rickie,Corman,Cloudy,"Sideswipe, Same Direction",no,no,no,no,no,False
