master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
100715638,METROPOLITAN NASHVILLE POLICE DEPT,20140000126,Davidson,Nashville,1/1/2015 12:30:00 AM,2,0,0,36.170830,-86.746780,S 14TH ST,,,,0.00,,,SHELBY AVE,,,,0.00,Y,Four-Way, ,Intersection,None,,,         ,Steven,Wiser,Clear,Front to Rear,no,no,no,no,no,False
100715648,METROPOLITAN NASHVILLE POLICE DEPT,20150000235,Davidson,Nashville,1/1/2015 1:10:00 AM,3,0,0,36.080270,-86.749760,STATE HWY 255,,,,591.00,Feet,East,HALL CT,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Michael,Baron,Clear,Angle,no,no,no,no,yes,False
100715650,METROPOLITAN NASHVILLE POLICE DEPT,20150000244,Davidson,Nashville,1/1/2015 1:17:00 AM,1,0,0,36.144620,-86.859640,MAUDINA AVE,,,,26.00,Feet,West,OCEOLA AVE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Anthony,Cavis,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
100715654,VANDERBILT UNIVERSITY POLICE,15-0000250,Davidson,Nashville,1/1/2015 12:23:00 AM,2,0,0,36.138680,-86.810850,BLAKEMORE AVE,,,,0.00,,,NATCHEZ TRC,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Joseph,Serna,Clear,Angle,no,no,no,no,no,Campus
100715659,METROPOLITAN NASHVILLE POLICE DEPT,2015-0000362,Davidson,Nashville,1/1/2015 2:13:00 AM,2,2,0,36.241330,-86.757350,STATE HWY 155,,,,0.00,,,US HWY 31W,,,,0.00,Y,T-Intersection,Y,Entrance/Exit Ramp Related,None,,,         ,Michael,Agee,Cloudy,Angle,no,no,no,no,no,False
100715663,METROPOLITAN NASHVILLE POLICE DEPT,20150000320,Davidson,Nashville,1/1/2015 1:48:00 AM,1,0,0,36.239810,-86.753170,I 65,,,,0.00,,,,,,,90.25,N,Not at Intersection, ,Non-Junction,Construction Zone,,,         ,Matthew,Harris,Clear,Unknown,no,no,no,no,yes,False
100715669,METROPOLITAN NASHVILLE POLICE DEPT,20150000378,Davidson,Nashville,1/1/2015 2:46:00 AM,2,0,0,36.074470,-86.638610,US HWY 41,,,,0.00,,,RURAL HILL RD,,,,0.00,Y,Four-Way, ,,None,,,         ,Steven,Williams,,,no,no,no,no,no,False
100715677,METROPOLITAN NASHVILLE POLICE DEPT,20150000286,Davidson,Nashville,1/1/2015 1:28:00 AM,3,1,0,36.155820,-86.795900,17TH AVE N,,,,0.00,,,CHURCH ST,,,,0.00,Y,Four-Way,Y,Intersection,None,,,         ,Taylor,Jeansonne,Clear,Angle,no,no,no,no,no,False
100715678,METROPOLITAN NASHVILLE POLICE DEPT,2015-0000552,Davidson,Nashville,1/1/2015 12:00:00 AM,1,0,0,36.117680,-86.720050,OLD GLENROSE AVE,,,,300.00,Feet,West,E THOMPSON LN,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Tyler,Conrads,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
100715680,METROPOLITAN NASHVILLE POLICE DEPT,20150000691,Davidson,Nashville,1/1/2015 5:00:00 AM,2,0,0,36.200320,-86.754420,CHICKASAW AVE,,,,49.00,Feet,West,MONTGOMERY AVE,,,,0.00,N,Not at Intersection, ,,,,,         ,Terrance,McBride,,,no,no,no,no,no,False
