master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
101963016,METROPOLITAN NASHVILLE POLICE DEPT,20180291950,Davidson,Nashville,4/1/2018 12:32:00 AM,2,0,0,36.158480,-86.777120,5TH AVS,,,,0.00,,,DEMONBREUN ST,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Daniel,Russett,Clear,Front to Rear,no,no,no,no,yes,False
101963034,METROPOLITAN NASHVILLE POLICE DEPT,20180291946,Davidson,Not in City Limit,4/1/2018 12:17:00 AM,3,0,0,36.318220,-86.836340,I 24,,,,0.00,,,,,,,36.90,N,Not at Intersection,N,Non-Junction,None,,,         ,Armonty,Houston,Clear,Front to Rear,no,no,no,no,no,False
101963037,METROPOLITAN NASHVILLE POLICE DEPT,20180292017,Davidson,Nashville,4/1/2018 1:15:00 AM,2,0,0,36.038770,-86.719770,SWISS AV,,,,0.00,,,,,,,0.00,,, ,Non-Junction,None,,,         ,Brandon,Rardin,Clear,"Sideswipe, Opposite Direction",no,no,no,yes,yes,False
101963068,METROPOLITAN NASHVILLE POLICE DEPT,20180292219,Davidson,Nashville,4/1/2018 12:00:00 AM,2,0,0,36.197200,-86.740480,CAHAL AV,,,,0.00,,,,,,,0.00,,,N,Non-Junction,None,,,         ,Colin,Bleem,Clear,Front to Rear,no,no,no,yes,yes,False
101963071,METROPOLITAN NASHVILLE POLICE DEPT,20180292227,Davidson,Nashville,4/1/2018 3:40:00 AM,1,0,0,36.084210,-86.882850,HIGHWAY 100,,,,473.00,Feet,South,PERCY WARNER BLVD,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Kenneth,Bray,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101963072,METROPOLITAN NASHVILLE POLICE DEPT,20180292233,Davidson,Not in City Limit,4/1/2018 3:45:00 AM,1,0,0,36.263760,-86.702250,STATE RT 45,,,,469.00,Feet,East,BURWOOD AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Bryant,Presley,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101963082,METROPOLITAN NASHVILLE POLICE DEPT,20180292187,Davidson,Nashville,4/1/2018 3:09:00 AM,1,2,0,36.159560,-86.774640,DEMONBREUN ST,,,,0.00,,,3RD AVS,,,,0.00,Y,Four-Way,Y,Intersection,None,,,         ,Daniel,Caruth,Clear,Not Collision with Motor Vehicle in Transport,yes,no,no,no,no,False
101963086,METROPOLITAN NASHVILLE POLICE DEPT,20180292080,Davidson,Nashville,4/1/2018 2:02:00 AM,1,1,0,36.185920,-86.862800,BRILEY PKWYN,,,,288.00,Feet,North,BRILEY PKWYS,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Armonty,Houston,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101963099,METROPOLITAN NASHVILLE POLICE DEPT,20180291925,Davidson,Not in City Limit,4/1/2018 12:11:00 AM,2,2,0,36.318890,-86.843010,I 24,,,,0.00,,,,,,,36.40,N,Not at Intersection,N,Non-Junction,None,,,         ,James,Murphy,Cloudy,HeadOn,no,no,no,no,no,False
101963115,METROPOLITAN NASHVILLE POLICE DEPT,20180292204,Davidson,Nashville,4/1/2018 3:18:00 AM,1,2,0,36.069250,-86.692370,HAYWOOD,LN,US1,,100.00,Feet,West,BAKERTOWN,RD,US2,,0.00,N,Not at Intersection,N,Entrance/Exit Ramp Related,None,,,         ,Autumn,Manning,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101963118,METROPOLITAN NASHVILLE POLICE DEPT,20180292293,Davidson,Nashville,4/1/2018 4:35:00 AM,2,0,0,36.154820,-86.758600,HERMITAGE AV,,,,76.00,Feet,East,I24 W ENT RAMP,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Tyler,Manivong,Clear,Angle,no,no,no,no,yes,False
101963130,METROPOLITAN NASHVILLE POLICE DEPT,20180292355,Davidson,Nashville,4/1/2018 5:27:00 AM,1,0,0,36.144150,-86.692030,I40 W EXT RAMP,,,,0.00,Feet,East,I 40,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Joseph,Patricio,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101963131,METROPOLITAN NASHVILLE POLICE DEPT,20180292212,Davidson,Nashville,4/1/2018 3:20:00 AM,1,1,0,36.236360,-86.773790,MOOREWOOD DR,,,,235.00,Feet,South,CRISLYNNDALE DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Coleman,McKellar,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101963132,METROPOLITAN NASHVILLE POLICE DEPT,20180292287,Davidson,Antioch,4/1/2018 12:00:00 AM,2,0,0,36.063790,-86.583560,DORY DR,,,,110.00,Feet,South,SKIP JACK DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Sandra,Fly,Clear,Unknown,no,no,no,no,yes,False
101963249,METROPOLITAN NASHVILLE POLICE DEPT,20180292633,Davidson,Nashville,4/1/2018 12:00:00 AM,1,0,0,36.128030,-86.803280,21ST AVS,,,,0.00,,,LINDEN AV,,,,0.00,Y,T-Intersection,N,Intersection,None,,,         ,Nathan,Kemp,Unknown,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
101963251,METROPOLITAN NASHVILLE POLICE DEPT,20180292598,Davidson,Nashville,4/1/2018 8:08:00 AM,2,0,0,36.142200,-86.666600,I40 W EXT RAMP,,,,0.00,,,I 40,,,,0.00,Y,Four-Way, ,Entrance/Exit Ramp Related,None,,,         ,Tien,Nguyen,Rain,Angle,no,no,no,no,no,False
101963307,METROPOLITAN NASHVILLE POLICE DEPT,20180292649,Davidson,Nashville,4/1/2018 8:40:00 AM,2,0,0,36.079820,-86.621710,LERA JONES DR,,,,0.00,Feet,,OWENDALE DR,,,,0.00,Y,T-Intersection,N,Intersection-Related,None,,,         ,Jason,Thomas,Rain,Angle,no,no,no,no,no,False
101963332,METROPOLITAN NASHVILLE POLICE DEPT,20180292792,Davidson,Nashville,4/1/2018 10:31:00 AM,3,2,0,36.120470,-86.802630,I 440,,,,0.00,,,,,,,3.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Nathan,Kemp,Clear,Front to Rear,no,no,no,no,no,False
