master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
103020818,METROPOLITAN NASHVILLE POLICE DEPT,20210356420,Davidson,Nashville,7/1/2021 12:00:00 AM,2,0,0,36.118430,-86.794180,CLAYTON AV,,,,577.00,Feet,East,BELMONT BLVD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Taylor,Hurley,Clear,Angle,no,no,no,no,yes,False
103020835,METROPOLITAN NASHVILLE POLICE DEPT,20210356534,Davidson,Nashville,7/1/2021 1:35:00 AM,1,0,0,36.166880,-86.779430,3RD AVN,,,,0.00,,,CHARLOTTE AV,,,,0.00,Y,T-Intersection,Y,Intersection,None,,,         ,Eric,Jackson,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
103020920,METROPOLITAN NASHVILLE POLICE DEPT,20210356809,Davidson,Nashville,7/1/2021 12:00:00 AM,1,0,0,36.107790,-86.601950,ANDERSON RD,,,,0.00,,,,,,,0.00,,,N,Non-Junction,None,,,         ,Michael,Dance,Unknown,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
103020923,METROPOLITAN NASHVILLE POLICE DEPT,20210356755,Davidson,Not in City Limit,7/1/2021 5:20:00 AM,1,0,0,36.242270,-86.936330,BULL RUN RD,,,,1486.00,Feet,East,KIRBY HILL RD,,,,0.00,N,Not at Intersection, ,,None,,,         ,Joseph,Gawlowski,,,no,no,no,no,no,False
103020931,METROPOLITAN NASHVILLE POLICE DEPT,20210356822,Davidson,Nashville,7/1/2021 12:00:00 AM,2,1,0,36.121740,-86.750580,I440 E EXT RAMP,,,,0.00,,,NOLENSVILLE PKE,,,,0.00,Y,T-Intersection,N,Entrance/Exit Ramp Related,None,,,         ,Earl,Davis,Cloudy,"Sideswipe, Same Direction",no,no,no,no,yes,False
103020935,METROPOLITAN NASHVILLE POLICE DEPT,20210356843,Davidson,Nashville,7/1/2021 12:00:00 AM,2,0,0,36.148530,-86.778550,I40 W ENT RAMP,,,,0.00,,,I 40,,,,0.00,Y,OTHER, ,Non-Junction,None,,,         ,Julie,Nabors,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
103020938,METROPOLITAN NASHVILLE POLICE DEPT,20210356869,Davidson,Nashville,7/1/2021 6:46:00 AM,2,0,0,36.077320,-86.739260,HARDING PL,,,,200.00,Feet,East,BINKLEY DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Earl,Davis,Cloudy,Front to Rear,no,no,no,no,no,False
103020946,METROPOLITAN NASHVILLE POLICE DEPT,20210356907,Davidson,Nashville,7/1/2021 7:50:00 AM,2,1,0,36.075030,-86.724920,NOLENSVILLE PKE,,,,15.00,Feet,South,FLORA MAXWELL RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Joe,Hooper,Cloudy,Front to Rear,no,no,no,no,no,False
103020982,METROPOLITAN NASHVILLE POLICE DEPT,20210357045,Davidson,Nashville,7/1/2021 9:02:00 AM,2,0,0,36.145580,-86.741030,I 40,,,,0.00,,,,,,,212.20,N,Not at Intersection, ,Non-Junction,None,,,         ,Michael,Brooks,Cloudy,"Sideswipe, Same Direction",no,no,no,no,no,False
103020988,THP District 3 - Nashville,321044010,Davidson,Nashville,7/1/2021 12:00:00 AM,2,0,0,36.179420,-86.786190,2ND AVN,,,,150.00,Feet,South,TAYLOR ST,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Matthew,Priest,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
