master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
101393645,METROPOLITAN NASHVILLE POLICE DEPT,20160880431,Davidson,Nashville,10/1/2016 12:16:00 AM,1,0,0,36.156160,-86.818760,28TH AVN,,,,81.00,Feet,South,DELAWARE AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Joshua,Green,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101393647,METROPOLITAN NASHVILLE POLICE DEPT,20160880468,Davidson,Nashville,10/1/2016 12:05:00 AM,2,0,0,36.086490,-86.701150,I24 E EXT RAMP,,,,100.00,Feet,North,I 24,,,,0.00,N,Not at Intersection,Y,Entrance/Exit Ramp Related,None,,,         ,Caleb,Jernigan,Clear,Front to Rear,no,no,no,no,yes,False
101393651,METROPOLITAN NASHVILLE POLICE DEPT,20160880435,Davidson,Nashville,10/1/2016 12:01:00 AM,2,0,0,36.158290,-86.624880,I40 E ENT RAMP,,,,0.00,,,I 40,,,,0.00,Y,OTHER,N,Entrance/Exit Ramp Related,None,,,         ,Blake,Giles,Clear,Front to Rear,no,no,no,no,yes,False
101393663,METROPOLITAN NASHVILLE POLICE DEPT,20160880505,Davidson,Nashville,10/1/2016 12:35:00 AM,2,0,0,36.116700,-86.668180,DONELSON PKE,,,,0.00,,,HANGAR LN,,,,0.00,Y,T-Intersection,N,Intersection-Related,None,,,         ,Robert,Fondren,Cloudy,Angle,no,no,no,no,no,False
101393682,METROPOLITAN NASHVILLE POLICE DEPT,2016-0880824,Davidson,Nashville,10/1/2016 2:50:00 AM,1,0,0,36.032150,-86.764650,CLOVERLAND DR,,,,187.00,Feet,East,FREDERICKSBURG WAY,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Thomas,Miller,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101393683,METROPOLITAN NASHVILLE POLICE DEPT,20160880488,Davidson,Antioch,10/1/2016 12:30:00 AM,2,1,0,36.082060,-86.582390,MILBRIDGE DR,,,,233.00,Feet,South,MILBRIDGE CT,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Autumn,Manning,Clear,Front to Rear,no,no,no,no,yes,False
101393685,METROPOLITAN NASHVILLE POLICE DEPT,20160880453,Davidson,Nashville,10/1/2016 12:19:00 AM,1,0,0,36.077060,-86.735020,HARDING PL,,,,276.00,Feet,West,OVERCREST DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Marc,Haugen,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101393694,METROPOLITAN NASHVILLE POLICE DEPT,20160880634,Davidson,Nashville,10/1/2016 1:15:00 AM,2,0,0,36.157650,-86.773410,KOREAN VETERANS BLVD,,,,0.00,,,3RD AVS,,,,0.00,Y,Four-Way,N,Intersection-Related,None,,,         ,John,Anderson,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101393695,METROPOLITAN NASHVILLE POLICE DEPT,20160880758,Davidson,Nashville,10/1/2016 2:30:00 AM,2,0,0,36.105540,-86.717690,I 24,,,,0.00,,,,,,,54.10,N,Not at Intersection,N,Non-Junction,None,,,         ,Erik,Dabbs,Cloudy,"Sideswipe, Same Direction",no,no,no,no,no,False
101393705,METROPOLITAN NASHVILLE POLICE DEPT,20160880930,Davidson,Antioch,10/1/2016 3:00:00 AM,1,0,0,36.043240,-86.606910,MURFREESBORO PKE,,,,176.00,Feet,North,HOBSON PKE,,,,0.00,N,Not at Intersection, ,,None,,,         ,Andrew,Swint,,,no,no,no,no,no,False
101393712,METROPOLITAN NASHVILLE POLICE DEPT,20160880764,Davidson,Nashville,10/1/2016 1:50:00 AM,2,0,0,36.077700,-86.669580,BILLINGSGATE RD,,,,0.00,,,CHETOPA CT,,,,0.00,Y,T-Intersection, ,Intersection,None,,,         ,Dezmond,Hughes,Clear,Angle,no,no,no,no,no,False
101393723,METROPOLITAN NASHVILLE POLICE DEPT,20160881081,Davidson,Nashville,10/1/2016 4:54:00 AM,2,0,0,36.150900,-86.770640,4TH AVS,,,,0.00,,,I40 W EXT RAMP,,,,0.00,Y,OTHER, ,Intersection,None,,,         ,Curtis,Fisher,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
101393729,METROPOLITAN NASHVILLE POLICE DEPT,20160880850,Davidson,Nashville,10/1/2016 3:07:00 AM,4,1,0,36.140620,-86.731980,I 40,,,,0.00,,,,,,,213.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Joseph,Zambardi,Clear,Front to Rear,no,no,no,no,yes,False
101393734,METROPOLITAN NASHVILLE POLICE DEPT,20160880942,Davidson,Nashville,10/1/2016 12:00:00 AM,1,1,0,36.154310,-86.758970,I40 E ENT RAMP,,,,0.00,,,I 40,,,,0.00,Y,OTHER,N,Non-Junction,None,,,         ,Anthony,Russo,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101393737,METROPOLITAN NASHVILLE POLICE DEPT,20160880985,Davidson,Nashville,10/1/2016 4:30:00 AM,2,1,0,36.041170,-86.750360,OLD HICKORY BLVD,,,,366.00,Feet,West,HILL RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Marc,Haugen,Clear,Front to Rear,no,no,no,no,no,False
101393741,METROPOLITAN NASHVILLE POLICE DEPT,20160881145,Davidson,Nashville,10/1/2016 6:29:00 AM,1,0,0,36.077840,-86.758790,TROUSDALE DR,,,,0.00,,,BRIARWOOD DR,,,,0.00,Y,T-Intersection,N,Intersection,None,,,         ,Earl,Davis,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101393750,METROPOLITAN NASHVILLE POLICE DEPT,20160881150,Davidson,Nashville,10/1/2016 6:45:00 AM,1,0,0,36.199710,-86.825560,BUENA VISTA PKE,,,,289.00,Feet,East,MATTIE ST,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Michael,Parman,Cloudy,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101393752,METROPOLITAN NASHVILLE POLICE DEPT,20160881152,Davidson,Nashville,10/1/2016 7:00:00 AM,1,0,0,36.173030,-86.792400,9TH AVN,,,,0.00,,,JEFFERSON ST,,,,0.00,Y,Four-Way, ,Non-Junction,None,,,         ,Chase,Burnett,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101393763,METROPOLITAN NASHVILLE POLICE DEPT,20160881168,Davidson,Nashville,10/1/2016 6:27:00 AM,2,0,0,36.046900,-86.661440,I 24,,,,0.00,,,,,,,59.25,N,Not at Intersection,N,Non-Junction,None,,,         ,Jason,Dudley,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
101393775,METROPOLITAN NASHVILLE POLICE DEPT,20160881216,Davidson,Nashville,10/1/2016 7:45:00 AM,2,0,0,36.139280,-86.888230,I 40,,,,0.00,,,,,,,202.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Douglas,Atwood,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
101393797,METROPOLITAN NASHVILLE POLICE DEPT,20160881190,Davidson,Nashville,10/1/2016 4:40:00 AM,1,0,0,36.054860,-86.735100,MCMURRAY DR,,,,256.00,Feet,West,MCMURRAY CT,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Brent,Bauer,,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
101393813,METROPOLITAN NASHVILLE POLICE DEPT,2016-0881170,Davidson,Nashville,10/1/2016 6:28:00 AM,2,0,0,36.045560,-86.658420,I24 W EXT RAMP,,,,0.00,Feet,East,I 24,,,,0.00,N,Not at Intersection, ,Entrance/Exit Ramp Related,None,,,         ,Roderic,Williams,Clear,Angle,no,no,no,no,yes,False
101393819,METROPOLITAN NASHVILLE POLICE DEPT,20160881353,Davidson,Nashville,10/1/2016 9:05:00 AM,2,1,0,36.072530,-86.831820,TYNE BLVD,,,,670.00,Feet,South,VINTAGE PL,,,,0.00,N,Not at Intersection,N,"Driveway, Alley Access, etc",None,,,         ,Brent,Bauer,Cloudy,Angle,no,no,no,no,no,False
101393831,METROPOLITAN NASHVILLE POLICE DEPT,20160881370,Davidson,Nashville,10/1/2016 9:18:00 AM,2,0,0,36.253590,-86.716520,GALLATIN PKES,,,,158.00,Feet,North,MADISON SQ,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,DuJuan,Kendrick,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101393842,METROPOLITAN NASHVILLE POLICE DEPT,20160881432,Davidson,Nashville,10/1/2016 10:00:00 AM,2,0,0,36.153840,-86.857500,BRILEY PKWY,,,,21.00,Feet,North,I40 W EXT RAMP,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Brandon,Helms,Cloudy,"Sideswipe, Same Direction",no,no,no,no,no,False
101393855,METROPOLITAN NASHVILLE POLICE DEPT,20160881486,Davidson,Nashville,10/1/2016 10:34:00 AM,2,0,0,36.199200,-86.776510,I 65,,,,0.00,,,,,,,86.80,N,Not at Intersection, ,Non-Junction,None,,,         ,James,Wray,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101393858,METROPOLITAN NASHVILLE POLICE DEPT,20160881479,Davidson,Nashville,10/1/2016 10:29:00 AM,2,0,0,36.154030,-86.763490,I40 W ENT RAMP,,,,0.00,,,I 40,,,,0.00,Y,OTHER, ,Entrance/Exit Ramp Related,None,,,         ,Phillip,Box,Clear,Front to Rear,no,no,no,no,no,False
101393873,METROPOLITAN NASHVILLE POLICE DEPT,2016881579,Davidson,Not in City Limit,10/1/2016 11:35:00 AM,2,0,0,36.068740,-86.932860,OLD HARDING PKE,,,,0.00,,,COLICE JEANNE RD,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Douglas,Atwood,Cloudy,Angle,no,no,no,no,no,False
101393875,METROPOLITAN NASHVILLE POLICE DEPT,20160881586,Davidson,Nashville,10/1/2016 11:20:00 AM,2,0,0,36.108200,-86.770220,I 65,,,,0.00,,,,,,,79.65,N,Not at Intersection,N,Non-Junction,None,,,         ,Nathan,Smith,Cloudy,Front to Rear,no,no,no,yes,yes,False
101393887,METROPOLITAN NASHVILLE POLICE DEPT,20160881610,Davidson,Nashville,10/1/2016 11:55:00 AM,2,0,0,36.043640,-86.670590,HICKORY PARK DR,,,,41.00,Feet,South,HICKORY PARK LN,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Rickie,Corman,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101393893,METROPOLITAN NASHVILLE POLICE DEPT,20160881671,Davidson,Nashville,10/1/2016 12:48:00 PM,2,0,0,36.044770,-86.661530,CANE RIDGE RD,,,,0.00,,,BELL RD,,,,0.00,Y,Four-Way, ,,None,,,         ,Jamal,Jarvis,,,no,no,no,no,no,False
101393897,METROPOLITAN NASHVILLE POLICE DEPT,20160881500,Davidson,Nashville,10/1/2016 9:54:00 AM,2,0,0,36.035050,-86.718480,BRENTWOOD HIGHLANDS DR,,,,200.00,Feet,North,TIMBER RIDGE CIR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Earl,Davis,Cloudy,Front to Rear,no,no,no,no,yes,False
101393934,METROPOLITAN NASHVILLE POLICE DEPT,2016-0881627,Davidson,Madison,10/1/2016 12:06:00 PM,3,4,0,36.265460,-86.711120,GALLATIN PKEN,,,,145.00,Feet,South,DULING AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Arthur,Hipp,Cloudy,Angle,no,no,no,no,no,False
101393993,METROPOLITAN NASHVILLE POLICE DEPT,2016-0881740,Davidson,Antioch,10/1/2016 1:51:00 PM,2,0,0,0.000000,0.000000,UNA ANTIOCH,PIKE,SR41A,,200.00,Feet,West,MURFREESBORO,PIKE,SR,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Roderic,Williams,Clear,Angle,no,no,no,no,no,False
101394000,METROPOLITAN NASHVILLE POLICE DEPT,20160881824,Davidson,Nashville,10/1/2016 2:04:00 PM,2,0,0,36.051420,-86.645800,BELL RD,,,,389.00,Feet,South,BENT TREE  PVTDR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Sharissa,Perez,Clear,Front to Rear,no,no,no,no,no,False
101394018,VANDERBILT UNIVERSITY POLICE,16-0881836,Davidson,Nashville,10/1/2016 1:50:00 PM,2,0,0,36.108200,-86.763180,POWELL AV,,,,0.00,,,,,,,0.00,,, ,OtherLocation,None,,,         ,William,Amburn,Clear,Rear to Side,no,no,no,yes,yes,OHO
101394025,METROPOLITAN NASHVILLE POLICE DEPT,20160881832,Davidson,Nashville,10/1/2016 2:31:00 PM,2,0,0,36.173730,-86.602450,CENTRAL PKE,,,,101.00,Feet,West,OLD HICKORY BLVD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Kyle,Burks,Cloudy,Unknown,no,no,no,yes,yes,False
