master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
102525660,METROPOLITAN NASHVILLE POLICE DEPT,20190723069,Davidson,Nashville,10/1/2019 5:13:00 AM,1,0,0,36.088720,-86.608930,OLD SMITH SPRINGS RD,,,,251.00,Feet,East,SMITH SPRINGS RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Bradley,Pope,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,yes,yes,False
102525671,METROPOLITAN NASHVILLE POLICE DEPT,20190723078,Davidson,Nashville,10/1/2019 4:45:00 AM,1,0,0,36.197770,-86.838550,ASHLAND CITY HWY,,,,225.00,Feet,East,NORTH GATE SHOPPING CTR PVTDR,,,,0.00,N,Not at Intersection, ,,None,,,         ,Charles,Duke,,,no,no,no,no,no,False
102525679,METROPOLITAN NASHVILLE POLICE DEPT,20190723081,Davidson,Nashville,10/1/2019 6:00:00 AM,2,1,0,36.164230,-86.777730,CHURCH ST,,,,0.00,,,3RD AVN,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Damon,Hutcheson,Clear,Angle,no,no,no,no,no,False
102525681,METROPOLITAN NASHVILLE POLICE DEPT,20190723148,Davidson,Nashville,10/1/2019 6:36:00 AM,2,0,0,36.153900,-86.625640,STEWARTS FERRY PKE,,,,0.00,,,PERCY PRIEST DR,,,,0.00,Y,Four-Way, ,Intersection-Related,None,,,         ,Tien,Nguyen,Clear,Front to Rear,no,no,no,no,no,False
102525685,METROPOLITAN NASHVILLE POLICE DEPT,20190723172,Davidson,Nashville,10/1/2019 6:55:00 AM,2,0,0,36.171270,-86.870980,CENTENNIAL BLVD,,,,0.00,,,BRILEY PKWY S EXT RAMP,,,,0.00,Y,T-Intersection, ,,None,,,         ,Curtis,Rich,,,no,no,no,no,no,False
102525686,METROPOLITAN NASHVILLE POLICE DEPT,20190723149,Davidson,Nashville,10/1/2019 6:47:00 AM,2,0,0,36.202530,-86.598140,BELGIUM DR,,,,394.00,Feet,East,BELGIUM CT,,,,0.00,N,Not at Intersection, ,"Driveway, Alley Access, etc",None,,,         ,Michael,Dance,Clear,Rear to Side,no,no,no,no,no,False
102525691,METROPOLITAN NASHVILLE POLICE DEPT,20190723155,Davidson,Nashville,10/1/2019 6:14:00 AM,2,0,0,36.078530,-86.683440,ANTIOCH PKE,,,,319.00,Feet,East,CHEROKEE HILLS DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Jason,Hees,Clear,Front to Rear,no,no,no,no,no,False
102525701,METROPOLITAN NASHVILLE POLICE DEPT,20190723210,Davidson,Nashville,10/1/2019 7:16:00 AM,2,0,0,36.206620,-86.777900,BRICK CHURCH PKE,,,,0.00,,,W TRINITY LN,,,,0.00,Y,Four-Way, ,Intersection,None,,,         ,Ronald,Bright,Clear,Angle,no,no,no,no,no,False
102525702,METROPOLITAN NASHVILLE POLICE DEPT,20190723183,Davidson,Nashville,10/1/2019 7:11:00 AM,2,0,0,36.192980,-86.747720,DOUGLAS AV,,,,282.00,Feet,East,EMMETT AV,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Dillon,Hunt,Clear,Front to Rear,no,no,no,no,no,False
102525715,METROPOLITAN NASHVILLE POLICE DEPT,20190723259,Davidson,Nashville,10/1/2019 7:47:00 AM,2,0,0,36.106560,-86.772890,FRANKLIN PKE,,,,362.00,Feet,South,FRANKLIN PKE PVTDR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Justin,Pinkelton,Clear,Front to Rear,no,no,no,no,no,False
102525717,METROPOLITAN NASHVILLE POLICE DEPT,20190723242,Davidson,Nashville,10/1/2019 7:35:00 AM,2,0,0,36.158340,-86.705790,LEBANON PKE,,,,0.00,Feet,,WILOWEN DR,,,,0.00,Y,T-Intersection,N,Non-Junction,None,,,         ,Tien,Nguyen,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
102525728,METROPOLITAN NASHVILLE POLICE DEPT,20190723248,Davidson,Nashville,10/1/2019 7:35:00 AM,2,0,0,36.149340,-86.755900,ROBERTSON ST,,,,159.00,Feet,West,DONELSON ST,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Anna,Clayton,Clear,Front to Rear,no,no,no,no,no,False
102525729,METROPOLITAN NASHVILLE POLICE DEPT,20190723330,Davidson,Nashville,10/1/2019 8:12:00 AM,2,2,0,36.121350,-86.773300,I 65,,,,0.00,,,,,,,80.45,N,Not at Intersection,N,Non-Junction,None,,,         ,Earl,Davis,Clear,Front to Rear,no,no,no,no,no,False
102525736,METROPOLITAN NASHVILLE POLICE DEPT,20190723291,Davidson,Nashville,10/1/2019 7:58:00 AM,2,0,0,36.170650,-86.754290,S 9TH ST,,,,0.00,,,SHELBY AV,,,,0.00,Y,Four-Way, ,Intersection,None,,,         ,Dillon,Hunt,Clear,Front to Rear,no,no,no,no,no,False
102525744,METROPOLITAN NASHVILLE POLICE DEPT,20190723341,Davidson,Nashville,10/1/2019 8:12:00 AM,2,0,0,36.176580,-86.678710,MCGAVOCK PKE,,,,8.00,Feet,South,MAPLECREST DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Zachary,Maxa,Clear,Front to Rear,no,no,no,no,no,False
102525747,METROPOLITAN NASHVILLE POLICE DEPT,20190723332,Davidson,Belle Meade,10/1/2019 8:19:00 AM,2,2,0,36.101990,-86.869580,HARDING PL,,,,211.00,Feet,East,HARDING PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Curtis,Rich,Clear,Angle,no,no,no,no,no,False
102525751,METROPOLITAN NASHVILLE POLICE DEPT,20190723320,Davidson,Nashville,10/1/2019 8:07:00 AM,2,1,0,36.085730,-86.690910,ANTIOCH PKE,,,,88.00,Feet,North,PERIMETER HILL DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Jason,Hees,Clear,Front to Rear,no,no,no,no,no,False
102525753,METROPOLITAN NASHVILLE POLICE DEPT,20190723371,Davidson,Nashville,10/1/2019 8:25:00 AM,2,2,0,36.060090,-86.716400,NOLENSVILLE PKE,,,,0.00,,,STRASSER DR,,,,0.00,Y,OTHER,N,Non-Junction,None,,,         ,Adam,Warren,Clear,Angle,no,no,no,no,no,False
102525757,METROPOLITAN NASHVILLE POLICE DEPT,20190723140,Davidson,Nashville,10/1/2019 6:45:00 AM,2,0,0,36.109510,-86.720160,I24 W EXT RAMP,,,,0.00,Feet,East,I 24,,,,0.00,N,Not at Intersection, ,,None,,,         ,Jessie,Meadows,,,no,no,no,no,no,False
102525758,METROPOLITAN NASHVILLE POLICE DEPT,20190723207,Davidson,Nashville,10/1/2019 7:20:00 AM,3,0,0,36.086690,-86.730020,NOLENSVILLE PKE,,,,90.00,Feet,South,ELYSIAN FIELDS CT,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Jessie,Meadows,Clear,Front to Rear,no,no,no,no,yes,False
102525776,METROPOLITAN NASHVILLE POLICE DEPT,20190723161,Davidson,Madison,10/1/2019 6:54:00 AM,1,1,0,36.258430,-86.713540,HARRIS ST,,,,0.00,,,GALLATIN PKES,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Gabriel,Centeno,Clear,Not Collision with Motor Vehicle in Transport,yes,no,no,no,no,False
102525778,METROPOLITAN NASHVILLE POLICE DEPT,20190723445,Davidson,Nashville,10/1/2019 8:49:00 AM,2,0,0,36.134570,-86.799920,MAGNOLIA BLVD,,,,0.00,,,20TH AVS,,,,0.00,Y,T-Intersection,N,Intersection-Related,None,,,         ,Earl,Davis,Clear,Front to Rear,no,no,no,no,no,False
102525780,METROPOLITAN NASHVILLE POLICE DEPT,20190723220,Davidson,Nashville,10/1/2019 7:28:00 AM,2,0,0,36.064810,-86.622110,HAMILTON CHURCH RD,,,,0.00,,,OWENDALE DR,,,,0.00,Y,T-Intersection,Y,Intersection,None,,,         ,Joseph,Simon,Clear,Front to Rear,no,no,no,no,no,False
102525788,METROPOLITAN NASHVILLE POLICE DEPT,2019 0723367,Davidson,Nashville,10/1/2019 8:20:00 AM,2,0,0,36.046990,-86.861490,OLD HICKORY BLVD,,,,385.00,Feet,East,HILLSBORO PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Paul,Junkmann,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
102525805,THP District 3 - Nashville,319063940,Davidson,Not in City Limit,10/1/2019 6:25:00 AM,2,0,0,36.288320,-86.809670,I 24,,,,0.00,,,,,,,39.60,N,Not at Intersection, ,Non-Junction,None,,,         ,Kevin,Smith,Clear,Front to Rear,no,no,no,no,no,False
102525806,METROPOLITAN NASHVILLE POLICE DEPT,20190723431,Davidson,Nashville,10/1/2019 8:46:00 AM,2,0,0,36.137240,-86.699570,BRILEY PKWYN,,,,0.00,,,GLASTONBURY RD,,,,0.00,Y,T-Intersection, ,Intersection,None,,,         ,Zaire,Murray,Clear,Front to Rear,no,no,no,no,no,False
102525807,METROPOLITAN NASHVILLE POLICE DEPT,20190723480,Davidson,Nashville,10/1/2019 9:10:00 AM,2,2,0,36.096060,-86.707940,I 24,,,,0.00,,,,,,,54.90,N,Not at Intersection,N,Non-Junction,None,,,         ,Adam,Warren,Clear,Front to Rear,no,no,no,no,no,False
102525808,METROPOLITAN NASHVILLE POLICE DEPT,20190723580,Davidson,Nashville,10/1/2019 10:00:00 AM,2,0,0,36.047830,-86.862290,HILLSBORO PKE,,,,232.00,Feet,North,OLD HICKORY BLVD,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Curtis,Rich,Clear,Front to Rear,no,no,no,no,no,False
102525812,METROPOLITAN NASHVILLE POLICE DEPT,20190723540,Davidson,Nashville,10/1/2019 10:20:00 AM,2,0,0,36.126710,-86.710990,US HWY 41,,,,0.00,,,THOMPSON PL,,,,0.00,Y,Four-Way, ,Intersection,None,,,         ,John,Frazier,Clear,Other,no,no,no,no,no,False
