master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
101874636,METROPOLITAN NASHVILLE POLICE DEPT,20180000109,Davidson,Not in City Limit,1/1/2018 12:39:00 AM,1,0,0,36.270240,-86.822980,OLD HICKORY BLVD,,,,2056.00,Feet,West,WHITES CREEK PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Phillip,Black,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
101874638,METROPOLITAN NASHVILLE POLICE DEPT,20180000079,Davidson,Nashville,1/1/2018 12:26:00 AM,2,0,0,36.159410,-86.780910,BROADWAY,,,,0.00,,,7TH AVN,,,,0.00,Y,Four-Way, ,Non-Junction,None,,,         ,Lindsey,Anderson,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
101874648,METROPOLITAN NASHVILLE POLICE DEPT,20180000174,Davidson,Not in City Limit,1/1/2018 12:40:00 AM,1,0,0,36.270210,-86.823010,OLD HICKORY BLVD,,,,2072.00,Feet,West,WHITES CREEK PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Charles,Duke,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
101874655,METROPOLITAN NASHVILLE POLICE DEPT,20180000173,Davidson,Not in City Limit,1/1/2018 1:00:00 AM,1,0,0,36.001290,-87.022890,HIGHWAY 96,,,,688.00,Feet,East,LITTLE EAST FORK RD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Jackson,Smythe,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
101874684,METROPOLITAN NASHVILLE POLICE DEPT,20180000193,Davidson,Nashville,1/1/2018 1:25:00 AM,2,0,0,36.069590,-86.693910,HAYWOOD LN,,,,0.00,Feet,,EZELL RD,,,,0.00,Y,Four-Way,Y,Intersection,None,,,         ,Douglas,Sykes,Clear,Angle,no,no,no,no,no,False
101874694,METROPOLITAN NASHVILLE POLICE DEPT,20180000088,Davidson,Nashville,1/1/2018 12:25:00 AM,3,0,0,36.144700,-86.877730,COUGAR DR,,,,167.00,Feet,East,WILCLAY DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Aaron,Wigginton,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
101874716,METROPOLITAN NASHVILLE POLICE DEPT,20180000302,Davidson,Nashville,1/1/2018 2:31:00 AM,2,1,0,36.067230,-86.661670,UNA ANTIOCH PKE,,,,0.00,,,RICHARDS RD,,,,0.00,Y,T-Intersection,N,Intersection,None,,,         ,Kevin,McGinniss,Clear,Front to Rear,no,no,no,no,yes,False
101874717,METROPOLITAN NASHVILLE POLICE DEPT,20180000258,Davidson,Nashville,1/1/2018 1:45:00 AM,2,0,0,36.169050,-86.772240,S 1ST ST,,,,0.00,,,WOODLAND ST,,,,0.00,Y,Four-Way, ,,None,,,         ,Damon,Hutcheson,,,no,no,no,no,no,False
101874718,METROPOLITAN NASHVILLE POLICE DEPT,20180000342,Davidson,Nashville,1/1/2018 12:00:00 AM,2,0,0,36.141570,-86.653720,I 40,,,,0.00,,,,,,,217.65,N,Not at Intersection,N,Non-Junction,None,,,         ,Kyle,Berkheiser,Clear,Front to Rear,no,no,no,no,no,False
101874724,METROPOLITAN NASHVILLE POLICE DEPT,20180000167,Davidson,Nashville,1/1/2018 1:12:00 AM,2,1,0,36.079600,-86.726320,NOLENSVILLE PKE,,,,0.00,,,HARDING PL,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Ralph,Smith IV,Clear,Unknown,no,no,no,no,yes,False
101874726,METROPOLITAN NASHVILLE POLICE DEPT,20180000464,Davidson,Nashville,1/1/2018 12:49:00 AM,2,0,0,36.103030,-86.838300,HOBBS RD,,,,0.00,,,ESTES RD,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Jackson,Smythe,Clear,Angle,no,no,no,no,no,False
101874727,METROPOLITAN NASHVILLE POLICE DEPT,20180000391,Davidson,Nashville,1/1/2018 12:00:00 AM,1,0,0,36.066300,-86.721940,NORTHCREST DR,,,,559.00,Feet,West,NORTHCREST COMMONS CIR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Trevor,Taylor,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
101874730,METROPOLITAN NASHVILLE POLICE DEPT,20180000455,Davidson,Nashville,1/1/2018 1:20:00 AM,2,0,0,36.169490,-86.605540,I 40,,,,0.00,,,,,,,220.60,N,Not at Intersection,N,Entrance/Exit Ramp Related,None,,,         ,Steven,Wiser,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
