master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
102797746,METROPOLITAN NASHVILLE POLICE DEPT,20200624674,Davidson,Nashville,10/1/2020 12:40:00 AM,2,0,0,36.095500,-86.762760,I 65,,,,0.00,,,,,,,78.70,N,Not at Intersection,N,Non-Junction,Construction Zone,Work On Shoulder Or Median,Activity Area,         ,Michael,Hodges,,Front to Rear,no,no,no,no,yes,False
102797747,METROPOLITAN NASHVILLE POLICE DEPT,20200624693,Davidson,Nashville,10/1/2020 1:30:00 AM,2,0,0,36.206620,-86.777900,W TRINITY LN,,,,0.00,,,BRICK CHURCH PKE,,,,0.00,Y,Four-Way,Y,Intersection-Related,None,,,         ,Jacob,Dick,Clear,Angle,no,no,no,no,no,False
102797772,METROPOLITAN NASHVILLE POLICE DEPT,20200624616,Davidson,Nashville,10/1/2020 12:31:00 AM,1,1,0,36.080560,-86.697910,LINBAR DR,,,,879.00,Feet,West,LUNA DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Antoine,Maghamez,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102797786,METROPOLITAN NASHVILLE POLICE DEPT,20200624822,Davidson,Nashville,10/1/2020 3:02:00 AM,2,0,0,36.088950,-86.649920,MURFREESBORO PKE,,,,48.00,Feet,South,RANSOM PL,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,William,Williams,,"Sideswipe, Same Direction",no,no,no,no,no,False
102797818,METROPOLITAN NASHVILLE POLICE DEPT,20200624781,Davidson,Nashville,10/1/2020 12:00:00 AM,2,0,0,36.214170,-86.799360,FRANCES ST,,,,231.00,Feet,East,WHITES CREEK PKE,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Jacob,Dick,Clear,Angle,no,no,no,yes,yes,False
102797831,METROPOLITAN NASHVILLE POLICE DEPT,20200625006,Davidson,Nashville,10/1/2020 5:57:00 AM,2,0,0,36.049324,-86.600006,HOBSON,PIKE,,,0.00,,,PIN HOOK,RD,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Bryce,Hatten,,"Sideswipe, Opposite Direction",no,no,no,no,no,False
102797868,METROPOLITAN NASHVILLE POLICE DEPT,20200625069,Davidson,Nashville,10/1/2020 7:15:00 AM,2,0,0,36.040260,-86.816400,OLD HICKORY BLVD,,,,0.00,,,GRANNY WHITE PKE,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Earl,Davis,,Angle,no,no,no,no,no,False
102797869,METROPOLITAN NASHVILLE POLICE DEPT,20200625018,Davidson,Nashville,10/1/2020 6:18:00 AM,2,2,0,36.142750,-86.735930,I 40,,,,0.00,,,,,,,212.75,N,Not at Intersection,N,Non-Junction,None,,,         ,Amy,Hirschmann,,"Sideswipe, Same Direction",no,no,no,no,no,False
102797883,METROPOLITAN NASHVILLE POLICE DEPT,2020625003,Davidson,Not in City Limit,10/1/2020 12:00:00 AM,2,0,0,36.263660,-86.717780,OLD HICKORY BLVDW,,,,0.00,,,GIBSON DR,,,,0.00,Y,T-Intersection,N,Intersection-Related,None,,,         ,Thomas,Denenea,Clear,Angle,no,no,no,no,no,False
102797896,METROPOLITAN NASHVILLE POLICE DEPT,20200625106,Davidson,Not in City Limit,10/1/2020 7:19:00 AM,2,0,0,36.008880,-86.680880,CALDERWOOD DR,,,,0.00,Feet,,BROKEN BOW DR,,,,0.00,Y,T-Intersection,N,Intersection,None,,,         ,Patrick,Martin,,Angle,no,no,no,no,yes,False
102797898,METROPOLITAN NASHVILLE POLICE DEPT,20200625150,Davidson,Nashville,10/1/2020 8:34:00 AM,2,0,0,36.278290,-86.772230,OLD HICKORY BLVD,,,,79.00,Feet,West,DALEMERE DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Ian,Wilson,Clear,Front to Rear,no,no,no,no,no,False
102797913,METROPOLITAN NASHVILLE POLICE DEPT,20200625158,Davidson,Nashville,10/1/2020 8:14:00 AM,2,0,0,36.133240,-86.801320,PORTLAND AV,,,,1.00,Feet,West,MAGNOLIA BLVD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Gregory,Scott,,Angle,no,no,no,no,no,False
102797916,METROPOLITAN NASHVILLE POLICE DEPT,20200625146,Davidson,Nashville,10/1/2020 7:48:00 AM,2,0,0,36.148370,-86.745390,I 40,,,,0.00,,,,,,,211.90,N,Not at Intersection,N,Non-Junction,None,,,         ,Roger,Luther,Clear,Front to Rear,no,no,no,no,no,False
102797924,METROPOLITAN NASHVILLE POLICE DEPT,20200625161,Davidson,Nashville,10/1/2020 8:23:00 AM,2,2,0,36.093400,-86.821350,BURTON HILLS BLVD,,,,235.00,Feet,North,SEVEN HILLS BLVD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Earl,Davis,,"Sideswipe, Same Direction",no,no,no,no,no,False
102797930,METROPOLITAN NASHVILLE POLICE DEPT,20200625065,Davidson,Nashville,10/1/2020 6:30:00 AM,2,0,0,36.151340,-86.768360,I40 E EXT RAMP,,,,0.00,,,2ND AVS,,,,0.00,Y,Four-Way,N,Entrance/Exit Ramp Related,None,,,         ,Charles,Coe,Clear,Angle,no,no,no,no,no,False
102797931,METROPOLITAN NASHVILLE POLICE DEPT,20200625061,Davidson,Nashville,10/1/2020 6:47:00 AM,2,0,0,36.050730,-86.646910,BELL RD,,,,0.00,,,HICKORY HOLLOW TER,,,,0.00,Y,Four-Way, ,Intersection,None,,,         ,Robert,Higgins,,Front to Rear,no,no,no,no,no,False
102797944,METROPOLITAN NASHVILLE POLICE DEPT,20200625237,Davidson,Nashville,10/1/2020 12:00:00 AM,1,0,0,36.063100,-86.692140,COLEMONT PL,,,,82.00,Feet,North,GILLESPIE DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Patrick,Martin,,Not Collision with Motor Vehicle in Transport,no,no,no,no,yes,False
102797949,METROPOLITAN NASHVILLE POLICE DEPT,20200625201,Davidson,Nashville,10/1/2020 8:28:00 AM,2,0,0,36.065260,-86.759730,HOGAN RD,,,,160.00,Feet,West,TROUSDALE DR,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Earl,Davis,,Front to Rear,no,no,no,no,no,False
102797962,METROPOLITAN NASHVILLE POLICE DEPT,20200625037,Davidson,Nashville,10/1/2020 6:30:00 AM,2,0,0,36.211480,-86.920720,STATE HWY 12,,,,92.00,Feet,East,OLD HICKORY BLVD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Wesley,Young,Clear,Angle,no,no,no,no,no,False
102797991,METROPOLITAN NASHVILLE POLICE DEPT,20200625309,Davidson,Nashville,10/1/2020 9:46:00 AM,2,0,0,36.047550,-86.662560,I 24,,,,0.00,,,,,,,59.15,N,Not at Intersection, ,,None,,,         ,Patrick,Martin,,,no,no,no,no,no,False
102797992,METROPOLITAN NASHVILLE POLICE DEPT,20200625283,Davidson,Nashville,10/1/2020 9:35:00 AM,2,1,0,36.176420,-86.756020,MAIN ST,,,,102.00,Feet,West,MCFERRIN AV,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Russell,Freeman,Clear,Angle,no,no,no,no,no,False
102797993,METROPOLITAN NASHVILLE POLICE DEPT,20200625153,Davidson,Nashville,10/1/2020 8:10:00 AM,2,0,0,36.157950,-86.784310,10TH AVN,,,,0.00,,,BROADWAY,,,,0.00,Y,Four-Way, ,,None,,,         ,Nathaniel,Jones,,,no,no,no,no,no,False
102797994,METROPOLITAN NASHVILLE POLICE DEPT,20200625223,Davidson,Nashville,10/1/2020 9:00:00 AM,2,0,0,36.153570,-86.788410,14TH AVS,,,,0.00,,,DEMONBREUN ST,,,,0.00,Y,Four-Way, ,Intersection,None,,,         ,John,Roberson,,Angle,no,no,no,no,no,False
102798004,METROPOLITAN NASHVILLE POLICE DEPT,20200625294,Davidson,Nashville,10/1/2020 9:21:00 AM,2,0,0,36.137890,-86.800720,21ST AVS,,,,50.00,Feet,North,WEDGEWOOD AV,,,,0.00,N,Not at Intersection, ,,None,,,         ,Earl,Davis,,,no,no,no,no,no,Campus
102798005,METROPOLITAN NASHVILLE POLICE DEPT,20200625267,Davidson,Nashville,10/1/2020 9:17:00 AM,2,0,0,36.150800,-86.769610,I40 E EXT RAMP,,,,0.00,,,I 40,,,,0.00,Y,Four-Way, ,,None,,,         ,Roger,Luther,,,no,no,no,no,no,False
102798017,METROPOLITAN NASHVILLE POLICE DEPT,20200625334,Davidson,Nashville,10/1/2020 10:05:00 AM,2,0,0,36.130500,-86.802860,21ST AVS,,,,200.00,Feet,West,BLAIR BLVD,,,,0.00,N,Not at Intersection,N,OtherLocation,None,,,         ,Earl,Davis,,"Sideswipe, Same Direction",no,no,no,yes,yes,False
102798029,METROPOLITAN NASHVILLE POLICE DEPT,2020-0625387,Davidson,Nashville,10/1/2020 10:20:00 AM,2,0,0,36.264630,-86.663370,ROBINSON RD,,,,0.00,,South,,,,,100.00,N,Not at Intersection, ,,None,,,         ,Calvin,Graham,,,no,no,no,no,no,False
102798042,METROPOLITAN NASHVILLE POLICE DEPT,20200625432,Davidson,Nashville,10/1/2020 11:14:00 AM,2,0,0,36.091750,-86.696970,ANTIOCH PKE,,,,1276.00,Feet,East,HARDING INDUSTRIAL DR,,,,0.00,N,Not at Intersection,N,"Driveway, Alley Access, etc",None,,,         ,Patrick,Martin,,Angle,no,no,no,no,yes,False
102798046,METROPOLITAN NASHVILLE POLICE DEPT,20200625455,Davidson,Nashville,10/1/2020 11:30:00 AM,2,0,0,36.155420,-86.811460,CHARLOTTE AV,,,,200.00,Feet,East,25TH AVN,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Earl,Davis,,"Sideswipe, Same Direction",no,no,no,no,no,False
102798048,VANDERBILT UNIVERSITY POLICE,20200625165,Davidson,Nashville,10/1/2020 7:45:00 AM,2,0,0,36.108180,-86.763330,POWELL AVE,,,,0.00,,,,,,,0.00,,, ,OtherLocation,None,,,         ,Eugene,Kessler,Cloudy,Rear to Rear,no,no,no,yes,yes,OHO
102798051,METROPOLITAN NASHVILLE POLICE DEPT,20200625452,Davidson,Not in City Limit,10/1/2020 11:25:00 AM,2,0,0,36.262450,-86.712130,GALLATIN PKES,,,,89.00,Feet,North,E OLD HICKORY BLVD,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Brian,Otto,,Angle,no,no,no,no,no,False
