master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
103103572,METROPOLITAN NASHVILLE POLICE DEPT,20210514231,Davidson,Antioch,10/1/2021 3:20:00 AM,2,0,0,36.015480,-86.620140,I24 W EXT RAMP,,,,0.00,,,I 24,,,,0.00,Y,Y-Intersection, ,Entrance/Exit Ramp Related,None,,,         ,D’Mitri,Mackall,Clear,Front to Rear,no,no,no,no,no,False
103103600,METROPOLITAN NASHVILLE POLICE DEPT,20210514330,Davidson,Nashville,10/1/2021 5:10:00 AM,2,0,0,36.087560,-86.691900,HARDING PL,,,,102.00,Feet,East,ANTIOCH PKE,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Dylan,Ramos,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
103103615,METROPOLITAN NASHVILLE POLICE DEPT,20210514304,Davidson,Nashville,10/1/2021 5:08:00 AM,4,1,0,36.097090,-86.708770,I 24,,,,0.00,,,,,,,54.80,N,Not at Intersection,N,Non-Junction,None,,,         ,Theodore,Kenney,Clear,Front to Rear,no,no,no,no,no,False
103103630,METROPOLITAN NASHVILLE POLICE DEPT,20210514365,Davidson,Nashville,10/1/2021 5:46:00 AM,2,0,0,36.086540,-86.700320,I 24,,,,0.00,,,,,,,55.70,N,Not at Intersection, ,Non-Junction,None,,,         ,Dillon,Deleacaes,Clear,Front to Rear,no,no,no,no,no,False
103103634,METROPOLITAN NASHVILLE POLICE DEPT,20210514347,Davidson,Nashville,10/1/2021 12:00:00 AM,4,2,0,36.042560,-86.653990,I 24,,,,0.00,,,,,,,59.75,N,Not at Intersection,N,Non-Junction,None,,,         ,McKenzie,Harper,Clear,Front to Rear,no,no,no,no,no,False
103103648,METROPOLITAN NASHVILLE POLICE DEPT,20210514375,Davidson,Nashville,10/1/2021 6:50:00 AM,2,0,0,36.100880,-86.727640,ANTIOCH PKE,,,,118.00,Feet,East,COLBY DR,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Dylan,Ramos,Clear,Angle,no,no,no,no,no,False
103103652,METROPOLITAN NASHVILLE POLICE DEPT,20210514427,Davidson,Nashville,10/1/2021 12:00:00 AM,2,0,0,36.189740,-86.627120,LEBANON PKE,,,,850.00,Feet,East,HICKORY HILL LN,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,John,Chambers,Unknown,Unknown,no,no,no,yes,yes,False
103103685,METROPOLITAN NASHVILLE POLICE DEPT,20210514489,Davidson,Madison,10/1/2021 7:30:00 AM,1,0,0,36.266330,-86.687390,N DUPONT AV,,,,168.00,Feet,West,ARCHWOOD DR,,,,0.00,N,Not at Intersection, ,,None,,,         ,Justan,Vance,,,no,no,no,no,no,False
103103762,METROPOLITAN NASHVILLE POLICE DEPT,20210514618,Davidson,Nashville,10/1/2021 9:59:00 AM,2,0,0,36.154010,-86.787560,I40 W EXT RAMP,,,,0.00,,,DEMONBREUN ST,,,,0.00,Y,Four-Way,N,Entrance/Exit Ramp Related,None,,,         ,Joshua,Reece,Clear,Angle,no,no,no,no,yes,False
103103785,METROPOLITAN NASHVILLE POLICE DEPT,20210514659,Davidson,Nashville,10/1/2021 10:26:00 AM,2,0,0,36.202290,-86.776850,I 65,,,,0.00,,,,,,,87.00,N,Not at Intersection, ,Non-Junction,None,,,         ,James,Wray,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
103103787,METROPOLITAN NASHVILLE POLICE DEPT,20210514644,Davidson,Nashville,10/1/2021 10:14:00 AM,3,1,0,36.148430,-86.780680,I 40,,,,0.00,,,,,,,209.75,N,Not at Intersection,Y,Entrance/Exit Ramp Related,None,,,         ,Earl,Davis,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
