master_record_number,agency,agency_tracking_number,county,city,collision_date,vehicles_involved,number_injured,number_dead,latitude,longitude,roadway_name,roadway_suffix,roadway_number,roadway_local_id,distance_from_reference,miles-feet_indicator,direction_from_reference,intersection_road_name,intersection_road_name_suffix,intersection_road_number,intersection_local_id,mile_marker,intersection_indicator,intersect_type,interchange_related_indicator,relation_to_junction,work_zone_type,construction_maintenance_zone,construction_maintenance_zone_location,fatal_case_number,officer_first_name,officer_last_name,weather_condition(s),manner_of_crash,pedestrian,bicycle,scooter,parking,hitrun,mou
102688985,METROPOLITAN NASHVILLE POLICE DEPT,20200231069,Davidson,Nashville,4/1/2020 7:09:00 AM,2,0,0,36.068420,-86.707460,HAYWOOD LN,,,,0.00,,,CHAMBERS DR,,,,0.00,Y,T-Intersection,N,Intersection,None,,,         ,Patrick,Martin,Clear,Front to Rear,no,no,no,no,no,False
102688993,METROPOLITAN NASHVILLE POLICE DEPT,20200231310,Davidson,Nashville,4/1/2020 9:07:00 AM,2,0,0,36.154490,-86.815720,CHARLOTTE AV,,,,27.00,Feet,West,26TH AVN,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Nathan,Kemp,Clear,"Sideswipe, Same Direction",no,no,no,no,no,False
102689001,METROPOLITAN NASHVILLE POLICE DEPT,20200231311,Davidson,Nashville,4/1/2020 9:03:00 AM,2,0,0,36.192880,-86.623830,JUAREZ DR,,,,0.00,,,LEBANON PKE,,,,0.00,Y,Four-Way, ,,None,,,         ,Michael,Brooks,,,no,no,no,no,no,False
102689015,METROPOLITAN NASHVILLE POLICE DEPT,20200231419,Davidson,Antioch,4/1/2020 9:56:00 AM,2,0,0,36.015450,-86.620130,I24 W EXT RAMP,,,,0.00,Feet,East,I 24,,,,0.00,N,Not at Intersection,N,Entrance/Exit Ramp Related,None,,,         ,Patrick,Martin,Clear,Front to Rear,no,no,no,no,yes,False
102689020,METROPOLITAN NASHVILLE POLICE DEPT,2020-0231566,Davidson,Not in City Limit,4/1/2020 11:00:00 AM,1,0,0,36.263240,-86.698160,E OLD HICKORY BLVD,,,,46.00,Feet,East,LOMBARDIA LN,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Travis,Baxter,Clear,Not Collision with Motor Vehicle in Transport,no,no,no,no,no,False
102689059,METROPOLITAN NASHVILLE POLICE DEPT,2020-0231502,Davidson,Nashville,4/1/2020 10:30:00 AM,2,2,0,36.081100,-86.751530,WAUFORD DR,,,,65.00,Feet,North,HARDING PL,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Sean,Williams,Clear,"Sideswipe, Same Direction",no,no,no,no,yes,False
102689060,METROPOLITAN NASHVILLE POLICE DEPT,20200231763,Davidson,Nashville,4/1/2020 12:40:00 PM,2,1,0,36.163260,-86.761740,I 24,,,,0.00,,,,,,,49.25,N,Not at Intersection, ,Non-Junction,None,,,         ,Russell,Freeman,Clear,Front to Rear,no,no,no,no,no,False
102689061,METROPOLITAN NASHVILLE POLICE DEPT,20200231667,Davidson,Nashville,4/1/2020 12:03:00 PM,2,2,0,36.188440,-86.775400,I65 S ENT RAMP,,,,0.00,,,I 24,,,,0.00,Y,Y-Intersection,N,Non-Junction,None,,,         ,Joseph,Progar,Cloudy,Angle,no,no,no,no,no,False
102689063,METROPOLITAN NASHVILLE POLICE DEPT,20200231833,Davidson,Nashville,4/1/2020 12:55:00 PM,2,0,0,36.156900,-86.868590,ROBERTSON AV,,,,0.00,,,VERNON AV,,,,0.00,Y,T-Intersection, ,Intersection,None,,,         ,Curtis,Rich,Cloudy,Angle,no,no,no,no,no,False
102689069,METROPOLITAN NASHVILLE POLICE DEPT,20200231632,Davidson,Nashville,4/1/2020 11:45:00 AM,2,0,0,36.101060,-86.819770,HOBBS RD,,,,0.00,Feet,,HILLSBORO CIR,,,,0.00,Y,T-Intersection,N,Intersection-Related,None,,,         ,Brandon,O'Guin,Clear,HeadOn,no,no,no,no,no,False
102689072,METROPOLITAN NASHVILLE POLICE DEPT,20200231917,Davidson,Nashville,4/1/2020 1:49:00 PM,2,0,0,36.216670,-86.600940,JACKSON MEADOWS DR,,,,688.00,Feet,South,GENERAL JACKSON LN,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Michael,Dance,Clear,Angle,no,no,no,yes,yes,False
102689075,METROPOLITAN NASHVILLE POLICE DEPT,20200231826,Davidson,Madison,4/1/2020 1:03:00 PM,2,0,0,36.262470,-86.708890,E OLD HICKORY BLVD,,,,407.00,Feet,West,3RD AV,,,,0.00,N,Not at Intersection, ,Non-Junction,None,,,         ,Nathan,Mayo,Clear,Angle,no,no,no,no,no,False
102689086,METROPOLITAN NASHVILLE POLICE DEPT,20200231801,Davidson,Nashville,4/1/2020 12:54:00 PM,2,0,0,36.131330,-86.727310,I 24,,,,0.00,,,,,,,51.10,N,Not at Intersection,N,Non-Junction,None,,,         ,Patrick,Martin,Clear,Front to Rear,no,no,no,no,yes,False
102689103,METROPOLITAN NASHVILLE POLICE DEPT,20200232059,Davidson,Nashville,4/1/2020 2:26:00 PM,2,1,0,36.041250,-86.712660,MILL CREEK WHITTEMORE GRNWY,,,,413.00,Feet,South,MILL CREEK WHITTLEMORE GRNWY,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Joel,Bennett,Clear,Front to Rear,no,no,no,no,no,False
102689108,METROPOLITAN NASHVILLE POLICE DEPT,20200232028,Davidson,Nashville,4/1/2020 2:44:00 PM,1,1,0,36.062920,-86.953740,MORTON MILL RD,,,,51.00,Feet,South,BAY COVE TRL,,,,0.00,N,Not at Intersection,N,Non-Junction,None,,,         ,Jeremy,Huffine,Clear,Not Collision with Motor Vehicle in Transport,no,yes,no,no,no,False
102689109,METROPOLITAN NASHVILLE POLICE DEPT,20200232154,Davidson,Not in City Limit,4/1/2020 3:34:00 PM,2,0,0,36.266530,-86.690110,N DUPONT AV,,,,0.00,,,MYATT DR,,,,0.00,Y,Four-Way,N,Intersection,None,,,         ,Christopher,Littles,Clear,Angle,no,no,no,no,no,False
